Rank,Issn,,Journal Impact Factor,5-Year Impact Factor,Article Influence Score,,,
2853,1549-8328,,2.303,2.205,1.151,,,
2853,0022-5193,,2.303,2.394,0.834,,,
2853,0302-282X,,2.303,2.865,0.796,,,
2856,0022-328X,,2.302,2.109,0.415,,,
2856,1471-0358,,2.302,2.748,1.292,,,
2856,0300-9440,,2.302,2.577,0.504,,,
2856,1360-2276,,2.302,2.953,1.034,,,
2860,0953-6205,,2.300,2.125,0.574,,,
2861,0966-6362,,2.299,2.985,0.810,,,
2862,1439-6319,,2.298,2.586,0.744,,,
2863,0958-6946,,2.297,2.703,0.713,,,
2863,8755-6863,,2.297,2.331,0.724,,,
2865,1741-3842,,2.296,2.312,0.881,,,
2865,1741-3842,,2.296,2.312,0.881,,,
2865,0024-3205,,2.296,2.538,0.667,,,
2868,1015-3837,,2.295,1.396,0.489,,,
2868,1226-8453,,2.295,Not Available,Not Available,,,
2870,1742-7835,,2.294,2.474,0.616,,,
2870,0912-0009,,2.294,2.222,0.502,,,
2870,0022-1120,,2.294,2.714,1.175,,,
2870,0032-1400,,2.294,2.422,0.648,,,
2870,0041-1655,,2.294,2.913,1.708,,,
2870,0041-1655,,2.294,2.913,1.708,,,
2876,1520-9156,,2.293,2.238,0.625,,,
2877,2193-5807,,2.292,2.292,0.531,,,
2877,0098-5589,,2.292,2.786,1.304,,,
2877,0049-1241,,2.292,2.864,1.839,,,
2880,1011-372X,,2.291,2.308,0.526,,,
2880,0020-7225,,2.291,2.212,0.803,,,
2880,1010-6030,,2.291,2.475,0.535,,,
2883,0006-3525,,2.288,2.675,0.833,,,
2883,0022-4073,,2.288,2.617,0.812,,,
2885,1558-8211,,2.286,Not Available,Not Available,,,
2886,1432-6981,,2.285,2.597,0.736,,,
2886,0960-3085,,2.285,2.480,0.573,,,
2888,1752-9921,,2.284,2.580,0.832,,,
2889,1552-4949,,2.283,2.401,0.616,,,
2889,1546-1440,,2.283,Not Available,Not Available,,,
2891,0304-8608,,2.282,2.194,0.592,,,
2891,0198-8859,,2.282,2.477,0.665,,,
2891,0022-4405,,2.282,3.470,1.293,,,
2894,0006-291X,,2.281,2.474,0.757,,,
2894,1433-7398,,2.281,1.836,0.556,,,
2894,0263-8762,,2.281,2.293,0.594,,,
2894,1380-3743,,2.281,2.588,0.698,,,
2894,0962-8819,,2.281,2.298,0.664,,,
2899,1752-1416,,2.280,3.861,1.295,,,
2899,0022-3433,,2.280,2.643,2.343,,,
2899,1079-0632,,2.280,2.624,0.843,,,
2902,1473-7140,,2.279,2.147,0.655,,,
2903,1747-6348,,2.278,Not Available,Not Available,,,
2903,0016-8092,,2.278,2.067,0.886,,,
2903,1388-0764,,2.278,2.927,0.647,,,
2906,0706-652X,,2.276,2.606,1.014,,,
2906,0031-0808,,2.276,1.715,0.390,,,
2908,0002-8312,,2.275,3.618,2.245,,,
2908,1094-2939,,2.275,4.526,4.178,,,
2908,1052-9551,,2.275,1.966,0.671,,,
2908,0936-9902,,2.275,1.458,0.378,,,
2908,1073-6085,,2.275,2.215,0.579,,,
2908,2150-5551,,2.275,1.986,0.352,,,
2914,0955-8829,,2.274,2.395,0.706,,,
2914,0138-9130,,2.274,2.294,0.677,,,
2914,0138-9130,,2.274,2.294,0.677,,,
2917,0747-5632,,2.273,3.047,0.903,,,
2917,1054-8289,,2.273,4.059,1.984,,,
2917,0143-2885,,2.273,2.322,0.706,,,
2920,1937-1888,,2.272,2.691,0.868,,,
2920,1937-1888,,2.272,2.691,0.868,,,
2920,0375-9393,,2.272,1.905,0.454,,,
2923,1470-3203,,2.271,2.000,0.458,,,
2924,0340-3696,,2.270,2.269,0.574,,,
2924,0361-0128,,2.270,3.187,1.213,,,
2924,0038-0407,,2.270,2.941,1.896,,,
2927,0096-140X,,2.269,2.797,1.056,,,
2927,0096-140X,,2.269,2.797,1.056,,,
2927,0295-5075,,2.269,2.112,1.004,,,
2927,0167-577X,,2.269,2.288,0.473,,,
2927,0032-5910,,2.269,2.499,0.549,,,
2932,1749-4478,,2.268,2.398,0.777,,,
2932,0895-0695,,2.268,2.524,1.304,,,
2934,1612-9202,,2.267,2.703,0.881,,,
2934,1470-5931,,2.267,1.789,0.491,,,
2936,0022-2615,,2.266,2.583,0.793,,,
2936,1323-3580,,2.266,2.061,1.080,,,
2938,0950-0618,,2.265,2.769,0.644,,,
2939,0142-7873,,2.263,2.419,0.890,,,
2939,1073-9688,,2.263,2.726,0.956,,,
2939,1568-5888,,2.263,1.594,0.365,,,
2939,1569-1705,,2.263,Not Available,Not Available,,,
2943,0276-8739,,2.262,2.283,1.778,,,
2943,0022-510X,,2.262,2.379,0.699,,,
2945,1369-3786,,2.261,2.205,0.668,,,
2946,0016-0032,,2.260,2.396,0.576,,,
2946,1436-3798,,2.260,2.564,0.782,,,
2946,1436-3798,,2.260,2.564,0.782,,,
2949,1051-8215,,2.259,2.549,1.114,,,
2949,0889-1575,,2.259,2.799,0.662,,,
2951,0010-440X,,2.256,2.552,0.692,,,
2951,0010-440X,,2.256,2.552,0.692,,,
2951,1531-3433,,2.256,1.941,0.580,,,
2951,0019-0578,,2.256,2.015,0.415,,,
2951,0041-9907,,2.256,2.543,0.997,,,
2956,0887-0446,,2.255,2.626,0.802,,,
2957,0167-6296,,2.254,3.159,2.004,,,
2957,0167-6296,,2.254,3.159,2.004,,,
2959,1386-6141,,2.253,2.503,0.815,,,
2959,0272-7714,,2.253,2.782,0.873,,,
2961,1072-4133,,2.252,2.414,0.649,,,
2962,0007-0998,,2.250,2.468,0.955,,,
2962,1323-1650,,2.250,2.191,0.719,,,
2962,1398-2273,,2.250,2.321,0.795,,,
2965,1070-664X,,2.249,2.140,0.681,,,
2966,1567-2018,,2.248,Not Available,Not Available,,,
2966,0020-7489,,2.248,2.845,0.799,,,
2966,0020-7489,,2.248,2.845,0.799,,,
2966,1466-8564,,2.248,3.342,0.783,,,
2970,0959-8103,,2.247,2.409,0.505,,,
2971,0084-6570,,2.246,2.701,1.391,,,
2971,1471-2172,,2.246,2.811,0.914,,,
2971,0041-5650,,2.246,2.025,0.880,,,
2974,1559-2723,,2.245,2.653,0.958,,,
2974,1090-0535,,2.245,2.433,0.606,,,
2976,0065-1400,,2.244,2.111,0.512,,,
2976,1369-7137,,2.244,2.164,0.572,,,
2978,0065-2164,,2.243,4.438,1.588,,,
2978,0166-6851,,2.243,2.461,0.808,,,
2978,1526-2375,,2.243,2.557,0.769,,,
2981,1016-8478,,2.242,2.197,0.643,,,
2982,0378-3812,,2.241,2.244,0.517,,,
2983,0098-0331,,2.239,2.642,0.793,,,
2984,0002-8177,,2.238,2.451,0.782,,,
2984,0925-4773,,2.238,2.426,1.158,,,
2984,0165-1684,,2.238,2.115,0.685,,,
2987,1471-244X,,2.237,2.963,0.891,,,
2987,1121-760X,,2.237,1.716,0.314,,,
2989,1465-4644,,2.236,3.170,2.503,,,
2989,0213-3911,,2.236,2.312,0.660,,,
2989,1531-1309,,2.236,2.160,1.108,,,
2992,1053-8100,,2.235,2.747,0.795,,,
2992,0888-5885,,2.235,2.547,0.600,,,
2992,0964-8305,,2.235,2.444,0.544,,,
2992,0908-8857,,2.235,2.416,0.813,,,
2996,0001-4826,,2.234,3.426,1.831,,,
2996,1432-8488,,2.234,2.317,0.490,,,
2998,1662-5188,,2.233,2.520,1.057,,,
2998,0018-9294,,2.233,2.453,0.769,,,
3000,0005-7916,,2.232,2.515,0.780,,,
3001,0309-1740,,2.231,2.901,0.610,,,
3002,0008-1221,,2.230,2.020,0.977,,,
3002,1532-2882,,2.230,2.381,0.840,,,
3002,1532-2882,,2.230,2.381,0.840,,,
3005,0009-9120,,2.229,2.265,0.585,,,
3005,0889-9746,,2.229,2.312,0.699,,,
3007,1876-2859,,2.227,2.651,0.989,,,
3007,1387-3806,,2.227,2.082,0.642,,,
3007,0021-8782,,2.227,2.735,0.944,,,
3010,1535-3702,,2.226,3.023,0.814,,,
3011,1715-5312,,2.225,2.531,0.757,,,
3011,0160-9289,,2.225,2.286,0.695,,,
3011,0022-2372,,2.225,2.135,0.677,,,
3011,0167-6636,,2.225,2.575,0.996,,,
3015,0304-386X,,2.224,2.688,0.666,,,
3015,0891-6640,,2.224,2.378,0.593,,,
3017,0953-8984,,2.223,2.335,0.965,,,
3018,1472-6807,,2.222,2.692,1.084,,,
3018,0009-2673,,2.222,1.683,0.415,,,
3018,1386-341X,,2.222,2.102,0.533,,,
3018,0379-6779,,2.222,2.256,0.440,,,
3022,1542-7390,,2.221,2.104,0.678,,,
3023,1022-5528,,2.220,2.776,0.727,,,
3024,1386-6346,,2.218,2.095,0.567,,,
3025,0146-6615,,2.217,2.446,0.675,,,
3025,1526-0542,,2.217,2.395,0.734,,,
3027,0965-2299,,2.216,2.353,0.489,,,
3027,0367-326X,,2.216,2.321,0.495,,,
3027,0889-8561,,2.216,2.745,0.804,,,
3027,0143-7496,,2.216,2.736,0.618,,,
3027,1476-9255,,2.216,2.485,0.822,,,
3032,1386-0291,,2.215,2.028,0.326,,,
3032,0022-3484,,2.215,2.239,0.553,,,
3034,0966-6923,,2.214,2.768,0.795,,,
3035,0890-2070,,2.213,2.885,1.302,,,
3036,0018-8158,,2.212,2.350,0.679,,,
3036,1753-8947,,2.212,2.318,0.544,,,
3036,0095-8972,,2.212,1.507,0.151,,,
3039,1542-0752,,2.211,2.666,0.985,,,
3039,0300-2977,,2.211,2.051,0.537,,,
3041,0268-9146,,2.210,2.682,0.633,,,
3041,1385-772X,,2.210,1.726,0.204,,,
3041,1070-5503,,2.210,2.493,0.825,,,
3044,0006-8101,,2.208,3.455,1.018,,,
3044,0022-4871,,2.208,3.110,1.408,,,
3044,0732-2399,,2.208,3.012,2.244,,,
3047,1479-666X,,2.207,1.785,0.527,,,
3048,0929-1393,,2.206,2.952,0.820,,,
3048,1388-6150,,2.206,1.908,0.262,,,
3048,1439-7595,,2.206,1.893,0.561,,,
3048,0268-1242,,2.206,1.812,0.642,,,
3052,1079-2082,,2.205,2.120,0.519,,,
3053,0277-0008,,2.204,2.360,0.693,,,
3054,1175-3277,,2.203,1.926,0.532,,,
3055,1071-7544,,2.202,1.930,0.412,,,
3055,1080-5370,,2.202,2.220,1.088,,,
3057,0272-4340,,2.201,2.263,0.579,,,
3057,0025-3227,,2.201,2.586,0.941,,,
3059,0016-6723,,2.200,2.147,0.908,,,
3059,0022-4596,,2.200,2.386,0.561,,,
3061,0896-8608,,2.199,2.181,0.521,,,
3061,0257-8972,,2.199,2.453,0.574,,,
3063,1069-6563,,2.198,2.481,0.908,,,
3063,0340-0131,,2.198,2.199,0.640,,,
3063,0031-3955,,2.198,2.289,0.728,,,
3066,1752-6981,,2.197,1.556,0.535,,,
3067,0954-0121,,2.194,2.454,0.780,,,
3067,0955-8810,,2.194,2.460,0.698,,,
3067,0076-6879,,2.194,2.152,0.933,,,
3070,1665-2681,,2.193,2.016,0.534,,,
3070,1366-5545,,2.193,2.943,1.056,,,
3070,1366-5545,,2.193,2.943,1.056,,,
3073,0883-9441,,2.191,2.510,0.831,,,
3073,0024-1164,,2.191,2.188,0.786,,,
3073,1535-3508,,2.191,2.870,0.934,,,
3073,1021-335X,,2.191,2.121,0.530,,,
3077,0920-1211,,2.190,2.347,0.698,,,
3077,1753-1934,,2.190,1.700,0.504,,,
3079,0021-8979,,2.185,2.259,0.724,,,
3080,1292-8941,,2.183,2.103,0.829,,,
3080,1530-7085,,2.183,Not Available,Not Available,,,
3082,0929-7049,,2.181,2.186,0.768,,,
3083,0269-2155,,2.180,2.601,0.750,,,
3084,0949-944X,,2.179,2.079,0.830,,,
3084,0959-1524,,2.179,2.555,0.680,,,
3084,1933-7191,,2.179,2.295,0.701,,,
3087,1945-8924,,2.178,2.429,0.517,,,
3087,0142-2782,,2.178,2.127,0.540,,,
3087,0045-7949,,2.178,2.676,1.156,,,
3087,0012-1592,,2.178,2.339,0.936,,,
3087,1076-8998,,2.178,3.017,1.273,,,
3092,0016-7568,,2.177,2.256,0.789,,,
3092,1045-6740,,2.177,3.507,1.240,,,
3094,1354-6805,,2.176,Not Available,Not Available,,,
3094,1354-6805,,2.176,Not Available,Not Available,,,
3094,1041-1135,,2.176,1.960,0.671,,,
3097,2046-1682,,2.175,2.325,0.935,,,
3097,0930-7516,,2.175,2.023,0.457,,,
3097,1092-8480,,2.175,1.906,0.533,,,
3097,1741-427X,,2.175,2.286,0.348,,,
3101,0278-0240,,2.174,2.366,0.641,,,
3101,1431-0651,,2.174,2.741,0.803,,,
3101,0022-2631,,2.174,2.119,0.642,,,
3104,1045-9219,,2.173,2.182,0.864,,,
3105,0272-4944,,2.172,4.294,1.401,,,
3105,1045-389X,,2.172,2.364,0.636,,,
3107,0341-2040,,2.171,2.118,0.626,,,
3108,1341-9625,,2.170,1.731,0.494,,,
3109,2168-2216,,2.169,2.565,0.714,,,
3110,1471-2288,,2.168,3.024,1.220,,,
3110,0272-5231,,2.168,2.533,0.815,,,
3110,0014-4819,,2.168,2.619,0.855,,,
3110,0176-3679,,2.168,1.993,0.516,,,
3114,0146-2806,,2.167,2.847,0.950,,,
3114,0580-9517,,2.167,1.279,0.699,,,
3116,1088-0224,,2.166,2.688,1.162,,,
3116,1088-0224,,2.166,2.688,1.162,,,
3118,1734-1140,,2.165,2.402,0.503,,,
3118,0957-4166,,2.165,2.097,0.459,,,
3118,1090-0233,,2.165,2.480,0.651,,,
3121,1538-6341,,2.164,2.481,0.964,,,
3122,1545-5955,,2.162,2.380,0.833,,,
3123,0937-3462,,2.161,2.068,0.520,,,
3123,0022-3573,,2.161,2.326,0.554,,,
3123,1431-9276,,2.161,2.624,0.986,,,
3126,0066-4103,,2.160,2.133,0.598,,,
3126,0720-048X,,2.160,2.304,0.699,,,
3126,1435-2443,,2.160,2.121,0.641,,,
3129,0022-4278,,2.159,3.100,1.662,,,
3130,0307-904X,,2.158,2.195,0.632,,,
3130,1380-3395,,2.158,2.464,0.769,,,
3130,1380-3395,,2.158,2.464,0.769,,,
3133,1740-1445,,2.156,2.849,0.646,,,
3134,1869-9510,,2.155,2.324,1.087,,,
3135,1441-2772,,2.154,Not Available,Not Available,,,
3135,1176-6328,,2.154,Not Available,Not Available,,,
3137,0147-7307,,2.153,2.817,1.100,,,
3137,1477-2000,,2.153,2.013,0.792,,,
3139,1943-3921,,2.152,2.448,1.059,,,
3139,1943-3921,,2.152,2.448,1.059,,,
3139,1471-2393,,2.152,Not Available,Not Available,,,
3139,0954-691X,,2.152,1.994,0.608,,,
3139,0304-4130,,2.152,2.065,1.500,,,
3139,1615-3375,,2.152,3.423,3.500,,,
3145,0306-3127,,2.151,2.466,1.321,,,
3145,0306-3127,,2.151,2.466,1.321,,,
3145,1023-8883,,2.151,2.236,0.668,,,
3148,1086-4415,,2.150,2.350,0.592,,,
3148,1086-4415,,2.150,2.350,0.592,,,
3148,0022-2720,,2.150,1.743,0.650,,,
3148,1056-8719,,2.150,Not Available,Not Available,,,
3152,1099-0062,,2.149,2.089,0.598,,,
3152,1051-0443,,2.149,2.201,0.673,,,
3154,0730-6679,,2.147,1.841,0.345,,,
3154,0021-891X,,2.147,2.089,0.478,,,
3156,1164-5563,,2.146,2.269,0.608,,,
3157,1047-2797,,2.145,2.895,1.067,,,
3157,0168-0102,,2.145,2.256,0.705,,,
3159,1023-3830,,2.143,2.141,0.562,,,
3159,1094-6705,,2.143,4.109,1.231,,,
3159,0037-976X,,2.143,3.596,1.656,,,
3159,1432-881X,,2.143,3.078,0.897,,,
3163,0273-2300,,2.142,2.328,0.567,,,
3164,0045-2068,,2.141,1.720,0.487,,,
3164,1528-4336,,2.141,2.133,0.734,,,
3166,0734-2101,,2.140,1.560,0.475,,,
3166,0267-8373,,2.140,4.933,1.753,,,
3168,1878-6146,,2.139,2.177,0.654,,,
3168,0305-4403,,2.139,2.369,0.603,,,
3168,0305-4403,,2.139,2.369,0.603,,,
3168,0921-2728,,2.139,2.536,0.863,,,
3172,1422-6405,,2.138,2.116,0.675,,,
3172,0378-8733,,2.138,3.851,1.993,,,
3174,0003-6072,,2.137,2.072,0.595,,,
3174,1747-4086,,2.137,1.961,0.653,,,
3174,1057-9230,,2.137,2.570,1.342,,,
3174,1057-9230,,2.137,2.570,1.342,,,
3178,0275-2565,,2.136,2.375,0.697,,,
3179,0145-2134,,2.135,3.036,0.966,,,
3179,1570-162X,,2.135,1.856,0.602,,,
3179,1092-0684,,2.135,2.929,0.967,,,
3182,0263-6484,,2.134,1.957,0.504,,,
3182,0037-0738,,2.134,2.223,0.765,,,
3184,1618-8667,,2.133,Not Available,Not Available,,,
3184,1618-8667,,2.133,Not Available,Not Available,,,
3186,1061-0278,,2.132,1.892,0.459,,,
3186,0090-4295,,2.132,2.273,0.703,,,
3188,2164-5515,,2.131,2.140,0.570,,,
3189,0095-5108,,2.130,2.816,0.984,,,
3190,0254-0584,,2.129,2.427,0.546,,,
3190,1399-543X,,2.129,2.431,0.750,,,
3190,1386-1425,,2.129,2.163,0.350,,,
3193,0027-5514,,2.128,2.279,0.677,,,
3193,1040-6182,,2.128,2.446,0.694,,,
3195,0376-0421,,2.127,3.853,1.776,,,
3196,1726-4529,,2.125,Not Available,Not Available,,,
3197,2211-3428,,2.124,2.401,0.724,,,
3197,0735-1933,,2.124,2.260,0.628,,,
3197,0301-679X,,2.124,2.165,0.616,,,
3200,0020-9910,,2.123,2.783,5.326,,,
3201,0921-5107,,2.122,1.862,0.465,,,
3202,1537-260X,,2.121,3.579,1.230,,,
3202,0022-4804,,2.121,2.161,0.605,,,
3204,1173-8804,,2.120,2.790,0.735,,,
3204,1098-7339,,2.120,2.536,0.682,,,
3206,1359-1789,,2.119,2.699,0.963,,,
3206,0966-9795,,2.119,2.126,0.669,,,
3208,0065-2385,,2.118,2.886,1.263,,,
3209,1745-6215,,2.117,2.398,0.981,,,
3210,0278-4343,,2.115,2.491,0.906,,,
3210,0963-0643,,2.115,1.967,0.626,,,
3210,0379-0738,,2.115,2.324,0.561,,,
3213,0914-8779,,2.114,2.298,0.662,,,
3213,1347-8613,,2.114,2.047,0.542,,,
3213,0162-1459,,2.114,3.008,3.356,,,
3213,1028-415X,,2.114,2.039,0.480,,,
3217,1471-230X,,2.113,2.644,0.774,,,
3217,0018-9197,,2.113,2.046,0.739,,,
3219,0167-2738,,2.112,2.397,0.595,,,
3220,0160-2446,,2.111,2.291,0.656,,,
3220,0021-9762,,2.111,2.586,0.859,,,
3220,0024-6301,,2.111,4.365,1.385,,,
3220,1383-5769,,2.111,2.236,0.635,,,
3220,1753-5123,,2.111,3.636,1.056,,,
3225,1752-8054,,2.110,2.431,0.930,,,
3226,0361-3682,,2.109,3.834,1.273,,,
3226,0910-8327,,2.109,1.808,0.356,,,
3226,1464-0325,,2.109,2.133,0.619,,,
3229,0753-3322,,2.108,2.239,0.526,,,
3230,0147-9571,,2.107,2.367,0.639,,,
3230,1439-0108,,2.107,2.287,0.590,,,
3232,0923-4748,,2.106,2.155,0.488,,,
3232,0923-4748,,2.106,2.155,0.488,,,
3232,1871-6784,,2.106,2.499,0.643,,,
3232,0031-9406,,2.106,1.755,0.500,,,
3232,1052-6234,,2.106,2.990,2.324,,,
3237,0040-6031,,2.105,2.185,0.517,,,
3238,0020-7128,,2.104,2.421,0.714,,,
3239,1731-2302,,2.103,1.797,0.639,,,
3239,1536-1268,,2.103,2.672,1.518,,,
3241,0049-8254,,2.101,2.212,0.631,,,
3242,0257-3032,,2.100,2.784,2.047,,,
3243,1477-7525,,2.099,3.152,0.938,,,
3243,1477-7525,,2.099,3.152,0.938,,,
3243,1558-8424,,2.099,2.627,1.260,,,
3243,0301-5629,,2.099,2.416,0.703,,,
3247,0269-994X,,2.098,3.565,1.308,,,
3247,0960-8931,,2.098,2.211,0.668,,,
3247,2090-8083,,2.098,1.968,0.535,,,
3250,1942-9681,,2.097,2.151,0.746,,,
3251,0167-7012,,2.096,2.348,0.716,,,
3252,0108-7681,,2.095,1.834,0.586,,,
3252,0892-7790,,2.095,1.897,0.501,,,
3252,0264-0414,,2.095,2.751,0.761,,,
3252,1420-3049,,2.095,2.638,0.553,,,
3256,0735-0414,,2.092,2.747,0.816,,,
3256,0735-0414,,2.092,2.747,0.816,,,
3256,1535-3141,,2.092,2.399,0.741,,,
3256,0938-8974,,2.092,2.053,1.571,,,
3260,0741-8825,,2.090,2.241,1.155,,,
3261,1672-9145,,2.089,2.149,0.561,,,
3261,1868-2529,,2.089,2.047,0.503,,,
3261,1743-422X,,2.089,2.354,0.666,,,
3264,0004-5608,,2.088,2.466,1.038,,,
3264,1053-4822,,2.088,3.243,1.191,,,
3266,1265-4906,,2.087,2.103,0.510,,,
3266,0929-5313,,2.087,2.370,0.983,,,
3266,1355-8196,,2.087,2.055,0.743,,,
3269,0377-8401,,2.086,2.066,0.554,,,
3269,0272-8842,,2.086,2.110,0.439,,,
3271,0923-2958,,2.084,1.745,0.723,,,
3271,1437-3254,,2.084,2.511,0.869,,,
3273,0167-7322,,2.083,1.902,0.399,,,
3273,0894-9867,,2.083,3.406,1.156,,,
3275,0006-3606,,2.082,2.459,0.827,,,
3275,0378-1119,,2.082,2.246,0.676,,,
3275,0894-3257,,2.082,2.552,1.808,,,
3278,1553-5592,,2.081,2.020,0.763,,,
3279,0004-5632,,2.080,2.047,0.578,,,
3279,0894-1777,,2.080,2.177,0.735,,,
3279,0767-3981,,2.080,2.151,0.534,,,
3282,1076-6332,,2.077,2.145,0.676,,,
3282,1684-1182,,2.077,1.751,0.475,,,
3284,0021-9916,,2.076,3.193,1.567,,,
3284,0893-6080,,2.076,2.516,0.785,,,
3286,0940-9602,,2.075,2.006,0.570,,,
3286,1540-658X,,2.075,1.934,0.594,,,
3286,0925-3467,,2.075,2.044,0.489,,,
3286,0162-2439,,2.075,2.875,1.176,,,
3290,0952-3871,,2.074,2.178,0.625,,,
3290,1093-474X,,2.074,2.133,0.771,,,
3290,0377-9017,,2.074,1.602,1.161,,,
3290,1050-1738,,2.074,3.192,1.106,,,
3294,1022-6877,,2.073,2.337,0.674,,,
3294,1022-6877,,2.073,2.337,0.674,,,
3296,0889-8588,,2.072,2.074,0.852,,,
3296,1089-7771,,2.072,2.584,0.747,,,
3298,1750-9378,,2.071,Not Available,Not Available,,,
3298,0099-1112,,2.071,2.108,0.599,,,
3298,0722-4060,,2.071,2.027,0.653,,,
3301,1757-4749,,2.070,2.371,0.675,,,
3301,0894-0959,,2.070,2.252,0.703,,,
3303,0108-7673,,2.069,17.237,4.655,,,
3303,0959-5236,,2.069,2.404,0.802,,,
3305,1474-0346,,2.068,2.126,0.549,,,
3305,0003-4878,,2.068,2.148,0.563,,,
3305,0960-2011,,2.068,2.758,0.724,,,
3305,1812-8602,,2.068,2.022,0.814,,,
3305,1812-8602,,2.068,2.022,0.814,,,
3310,0960-3115,,2.065,2.668,0.848,,,
3310,1556-6013,,2.065,2.379,0.910,,,
3310,0304-3932,,2.065,2.684,3.437,,,
3310,1863-1959,,2.065,2.352,0.660,,,
3314,2044-6055,,2.063,2.073,0.764,,,
3314,1226-086X,,2.063,2.011,0.417,,,
3314,1096-6218,,2.063,2.446,0.821,,,
3317,0378-3839,,2.062,2.343,0.864,,,
3317,0276-0460,,2.062,2.113,0.730,,,
3317,0017-8063,,2.062,1.617,0.842,,,
3317,1387-7003,,2.062,1.838,0.288,,,
3317,0968-4328,,2.062,1.913,0.560,,,
3322,1525-5050,,2.061,2.186,0.555,,,
3322,0020-7403,,2.061,2.168,0.819,,,
3322,0939-6314,,2.061,2.473,0.781,,,
3325,0735-7907,,2.060,2.094,0.622,,,
3325,1530-7905,,2.060,2.317,0.598,,,
3325,0096-1191,,2.060,1.927,0.564,,,
3328,0003-004X,,2.059,2.449,0.969,,,
3328,1541-2016,,2.059,1.836,0.590,,,
3328,0931-2668,,2.059,1.706,0.488,,,
3328,2152-0828,,2.059,2.118,0.780,,,
3328,1059-1311,,2.059,2.003,0.564,,,
3333,0885-2006,,2.058,3.657,1.238,,,
3333,0721-7595,,2.058,2.581,0.603,,,
3333,1085-3278,,2.058,2.065,0.553,,,
3333,1357-0560,,2.058,1.972,0.511,,,
3333,0884-5336,,2.058,2.249,0.577,,,
3338,1471-2199,,2.057,3.460,1.143,,,
3338,1120-8694,,2.057,2.005,0.649,,,
3340,1742-5468,,2.056,1.914,0.951,,,
3340,0033-068X,,2.056,1.834,0.714,,,
3342,0022-1481,,2.055,2.103,0.701,,,
3342,0304-3940,,2.055,2.201,0.615,,,
3344,1535-3958,,2.054,2.804,0.543,,,
3345,0959-9673,,2.052,2.328,0.665,,,
3345,1461-4448,,2.052,2.441,1.093,,,
3345,0032-3772,,2.052,Not Available,Not Available,,,
3348,0272-2631,,2.051,2.593,1.226,,,
3349,1365-182X,,2.050,2.421,0.782,,,
3349,1522-2152,,2.050,2.380,0.784,,,
3351,1552-4825,,2.048,2.305,0.788,,,
3351,0730-7659,,2.048,2.685,0.875,,,
3351,0730-7659,,2.048,2.685,0.875,,,
3351,1096-7516,,2.048,2.635,0.783,,,
3351,0194-472X,,2.048,1.664,0.498,,,
3351,0951-8320,,2.048,2.593,0.899,,,
3351,1424-8220,,2.048,2.457,0.576,,,
3358,0277-5387,,2.047,2.068,0.333,,,
3359,0195-9255,,2.046,2.859,0.674,,,
3359,0378-1097,,2.046,2.254,0.718,,,
3359,0093-9994,,2.046,2.253,0.805,,,
3362,1359-107X,,2.045,2.911,0.950,,,
3362,0021-9568,,2.045,2.075,0.454,,,
3362,0142-159X,,2.045,2.170,0.616,,,
3365,0008-6312,,2.044,1.774,0.521,,,
3365,0178-7675,,2.044,2.329,1.213,,,
3367,0165-0750,,2.043,1.627,0.761,,,
3367,1940-1493,,2.043,Not Available,Not Available,,,
3369,1526-968X,,2.042,2.361,1.202,,,
3369,0268-4012,,2.042,2.243,0.509,,,
3371,0307-9457,,2.041,2.139,0.576,,,
3371,0020-1693,,2.041,1.991,0.344,,,
3371,0021-8820,,2.041,1.871,0.554,,,
3371,0924-0136,,2.041,2.328,0.678,,,
3375,1070-6631,,2.040,2.208,0.998,,,
3376,0929-5305,,2.039,1.583,0.515,,,
3377,0741-8329,,2.038,2.485,0.717,,,
3377,0018-5043,,2.038,2.050,0.563,,,
3377,1040-5488,,2.038,2.331,0.653,,,
3377,0300-9858,,2.038,1.893,0.550,,,
3381,0272-4634,,2.037,2.119,0.673,,,
3381,0277-6715,,2.037,2.828,1.584,,,
3383,0167-9236,,2.036,2.651,0.758,,,
3383,1465-1165,,2.036,2.367,1.500,,,
3383,0743-0167,,2.036,2.817,0.850,,,
3386,0020-7683,,2.035,2.252,0.915,,,
3387,1090-820X,,2.034,Not Available,Not Available,,,
3388,1438-7697,,2.033,2.153,0.517,,,
3388,0740-624X,,2.033,2.015,0.420,,,
3388,0001-8791,,2.033,3.079,1.093,,,
3388,0033-362X,,2.033,3.552,2.603,,,
3392,0012-2823,,2.032,2.152,0.650,,,
3392,0023-852X,,2.032,2.316,0.667,,,
3394,1939-1412,,2.030,2.571,0.616,,,
3394,1757-2215,,2.030,2.569,0.675,,,
3396,1383-4517,,2.029,1.732,0.538,,,
3396,1674-2818,,2.029,2.320,0.659,,,
3398,0301-0104,,2.028,1.857,0.576,,,
3399,1472-3646,,2.027,Not Available,Not Available,,,
3399,0167-9457,,2.027,2.478,0.727,,,
3399,0167-9457,,2.027,2.478,0.727,,,
3402,1567-1739,,2.026,1.999,0.471,,,
3402,0022-4146,,2.026,2.370,1.291,,,
3404,0022-2194,,2.025,2.807,0.977,,,
3405,0022-1155,,2.024,1.192,0.217,,,
3406,1742-4801,,2.023,2.219,0.553,,,
3407,0003-9527,,2.022,2.357,2.500,,,
3407,1093-3263,,2.022,2.006,0.466,,,
