Rank,Issn,Journal Impact Factor,5-Year Impact Factor,Article Influence Score,,,
2456,0022-3549,2.590,3.065,0.706,,,
2457,0004-0002,2.589,3.483,1.077,,,
2457,0962-1075,2.589,2.875,0.802,,,
2459,0743-4618,2.588,1.840,0.376,,,
2459,0743-4618,2.588,1.840,0.376,,,
2459,0079-032X,2.588,1.404,0.446,,,
2459,0001-8791,2.588,3.590,1.183,,,
2463,1087-1845,2.587,3.227,0.902,,,
2463,0888-5885,2.587,2.740,0.618,,,
2463,0957-4530,2.587,2.831,0.585,,,
2466,1387-3547,2.586,2.876,0.900,,,
2466,0160-9289,2.586,2.380,0.810,,,
2468,1531-1074,2.585,2.621,1.096,,,
2469,1435-9448,2.582,2.903,0.931,,,
2469,0021-924X,2.582,2.381,0.856,,,
2471,0925-8574,2.580,3.231,0.742,,,
2471,0736-5748,2.580,2.613,0.724,,,
2473,0167-6296,2.579,3.327,2.117,,,
2473,0167-6296,2.579,3.327,2.117,,,
2475,0009-2797,2.577,2.817,0.669,,,
2476,1471-2105,2.576,3.452,1.334,,,
2476,0276-8739,2.576,3.032,2.144,,,
2478,0301-4215,2.575,3.394,0.876,,,
2478,0301-4215,2.575,3.394,0.876,,,
2478,1872-2105,2.575,2.144,0.449,,,
2481,0145-2134,2.574,3.175,0.995,,,
2482,1610-3653,2.573,2.441,0.573,,,
2482,0022-0302,2.573,3.071,0.643,,,
2484,0065-3454,2.571,4.280,1.684,,,
2484,1556-603X,2.571,3.483,1.138,,,
2486,1399-543X,2.569,2.714,0.985,,,
2487,1347-4367,2.568,2.509,0.676,,,
2488,0921-5093,2.567,2.881,0.778,,,
2489,0967-0637,2.566,2.900,1.154,,,
2489,0269-4042,2.566,2.755,0.710,,,
2489,1368-5031,2.566,2.513,0.766,,,
2492,0003-9993,2.565,2.967,0.941,,,
2492,1040-726X,2.565,4.374,1.962,,,
2492,1073-9688,2.565,2.710,0.866,,,
2495,0921-3449,2.564,3.280,0.853,,,
2496,0021-8499,2.563,2.543,0.720,,,
2497,0041-5650,2.562,2.667,1.307,,,
2498,0944-5013,2.561,2.474,0.644,,,
2498,0026-4598,2.561,2.972,0.967,,,
2498,0740-2570,2.561,2.119,0.741,,,
2498,0167-2738,2.561,2.763,0.583,,,
2498,1948-5506,2.561,2.856,1.602,,,
2503,0011-3204,2.560,3.299,1.891,,,
2503,1664-1078,2.560,3.039,1.047,,,
2503,0956-540X,2.560,2.987,1.310,,,
2503,0031-1820,2.560,2.540,0.759,,,
2507,0921-8971,2.559,3.095,0.634,,,
2508,1071-7544,2.558,2.110,0.424,,,
2508,2115-7251,2.558,2.509,0.989,,,
2508,0251-5350,2.558,2.776,0.963,,,
2511,0176-1617,2.557,3.037,0.720,,,
2511,1350-0872,2.557,3.026,1.029,,,
2513,0360-1315,2.556,3.227,0.849,,,
2513,0360-1315,2.556,3.227,0.849,,,
2513,0894-0347,2.556,3.604,6.771,,,
2513,1660-2129,2.556,2.143,0.619,,,
2517,0261-5177,2.554,3.762,0.826,,,
2518,0706-7437,2.551,3.033,0.977,,,
2518,0706-7437,2.551,3.033,0.977,,,
2518,0957-5820,2.551,2.441,0.656,,,
2521,1570-8268,2.550,2.464,0.889,,,
2522,0022-0965,2.549,3.766,1.483,,,
2523,1402-2001,2.548,2.406,0.657,,,
2523,1556-8318,2.548,2.370,0.986,,,
2525,0031-9422,2.547,3.278,0.852,,,
2526,1748-717X,2.546,2.749,0.844,,,
2527,0195-6701,2.544,3.077,0.896,,,
2527,0033-5894,2.544,2.676,1.004,,,
2529,1054-6006,2.543,2.788,0.958,,,
2529,1536-1233,2.543,3.011,1.353,,,
2529,0377-0273,2.543,2.700,1.038,,,
2532,0964-4733,2.542,3.451,0.888,,,
2532,0007-8506,2.542,2.971,0.745,,,
2532,1566-5232,2.542,2.948,0.815,,,
2535,0890-8044,2.540,3.234,1.694,,,
2535,0278-3649,2.540,3.363,1.570,,,
2535,1558-8424,2.540,2.697,1.178,,,
2535,0376-0421,2.540,3.689,1.771,,,
2539,0168-8227,2.538,3.074,0.875,,,
2539,0949-8257,2.538,2.894,0.792,,,
2541,1741-0126,2.537,2.604,0.837,,,
2541,0933-7954,2.537,2.728,0.850,,,
2541,0933-7954,2.537,2.728,0.850,,,
2544,0953-8178,2.536,3.083,1.153,,,
2544,1478-3967,2.536,2.694,1.208,,,
2546,0950-2688,2.535,2.588,0.904,,,
2546,1559-2723,2.535,2.863,0.943,,,
2548,0024-4074,2.534,3.117,0.943,,,
2549,0014-2999,2.532,2.672,0.659,,,
2550,1674-2818,2.531,2.836,0.739,,,
2551,1040-8703,2.528,2.810,0.973,,,
2551,0194-472X,2.528,1.949,0.436,,,
2551,1613-4982,2.528,2.764,0.811,,,
2551,1083-6160,2.528,2.327,0.546,,,
2555,0749-8047,2.527,2.965,1.028,,,
2555,0832-610X,2.527,2.521,0.798,,,
2555,0013-189X,2.527,4.286,2.363,,,
2555,1067-151X,2.527,3.275,1.277,,,
2555,1040-452X,2.527,2.606,0.825,,,
2555,0300-9742,2.527,2.391,0.722,,,
2561,2213-1582,2.526,2.526,0.815,,,
2561,0031-9023,2.526,3.786,1.202,,,
2561,0166-4972,2.526,3.636,0.880,,,
2561,0166-4972,2.526,3.636,0.880,,,
2565,0178-7675,2.525,2.631,1.034,,,
2566,1319-6103,2.523,Not Available,Not Available,,,
2567,0042-6601,2.522,2.383,1.060,,,
2568,0282-0080,2.520,2.009,0.625,,,
2569,0258-8900,2.519,2.628,1.046,,,
2569,1468-1218,2.519,2.322,0.854,,,
2571,1367-5788,2.518,3.089,1.439,,,
2572,0269-7653,2.517,2.553,0.973,,,
2572,1531-636X,2.517,2.930,1.097,,,
2574,1359-5113,2.516,2.909,0.657,,,
2575,0167-7322,2.515,2.154,0.439,,,
2575,1381-5148,2.515,2.535,0.515,,,
2577,0002-9173,2.514,2.977,0.904,,,
2577,1513-7368,2.514,2.267,0.238,,,
2579,0165-2478,2.512,2.355,0.750,,,
2579,0091-4169,2.512,1.848,0.873,,,
2581,1466-5026,2.511,2.403,0.393,,,
2581,0378-1135,2.511,2.870,0.797,,,
2583,1090-7807,2.510,2.423,0.826,,,
2584,1448-2517,2.509,2.939,0.870,,,
2584,1673-7067,2.509,2.134,0.618,,,
2584,1687-4757,2.509,2.571,0.708,,,
2587,0304-4130,2.508,2.225,1.796,,,
2587,0924-7963,2.508,3.112,1.052,,,
2589,0272-4340,2.506,2.134,0.552,,,
2589,1942-7603,2.506,2.574,0.616,,,
2591,1471-4418,2.504,Not Available,Not Available,,,
2592,0966-0844,2.503,3.068,0.735,,,
2592,1687-1812,2.503,2.126,0.268,,,
2594,0272-4332,2.502,2.539,1.013,,,
2594,0272-4332,2.502,2.539,1.013,,,
2594,0964-1726,2.502,2.735,0.745,,,
2597,1040-8738,2.500,2.688,0.887,,,
2597,2045-7634,2.500,2.500,0.774,,,
2597,1054-8289,2.500,4.518,2.486,,,
2597,1045-6767,2.500,3.080,1.297,,,
2597,1059-0161,2.500,2.643,1.063,,,
2602,0936-577X,2.496,3.402,1.229,,,
2602,1536-1276,2.496,2.820,1.326,,,
2604,1010-6030,2.495,2.549,0.538,,,
2604,2040-2503,2.495,2.612,0.670,,,
2604,1460-2725,2.495,2.623,0.836,,,
2607,0143-6228,2.494,2.853,0.710,,,
2607,1468-2702,2.494,3.814,1.792,,,
2607,2005-0380,2.494,1.880,0.484,,,
2610,1861-1125,2.493,1.778,0.643,,,
2610,0093-6502,2.493,3.581,1.880,,,
2610,0012-7086,2.493,2.255,1.047,,,
2610,1089-7771,2.493,2.873,0.787,,,
2614,0033-4545,2.492,3.202,0.921,,,
2614,0041-0101,2.492,2.708,0.610,,,
2616,1078-5884,2.490,2.976,1.072,,,
2616,1076-6294,2.490,2.247,0.692,,,
2616,0922-6028,2.490,3.219,0.952,,,
2619,0268-8921,2.489,2.546,0.536,,,
2619,0167-577X,2.489,2.466,0.476,,,
2621,1748-6645,2.486,2.465,0.766,,,
2621,1748-6645,2.486,2.465,0.766,,,
2621,0267-8292,2.486,2.049,0.312,,,
2621,0962-9343,2.486,3.102,1.042,,,
2621,0962-9343,2.486,3.102,1.042,,,
2626,1747-0277,2.485,2.410,0.602,,,
2626,0266-4658,2.485,3.765,3.362,,,
2626,1618-0240,2.485,2.312,0.553,,,
2626,0028-3940,2.485,2.672,0.918,,,
2626,2050-3911,2.485,2.490,1.132,,,
2631,1744-666X,2.484,2.376,0.700,,,
2631,1094-6705,2.484,4.347,1.309,,,
2633,1090-0268,2.483,2.457,0.717,,,
2633,0265-931X,2.483,2.322,0.562,,,
2635,0016-7568,2.482,2.661,0.902,,,
2635,1932-4545,2.482,3.209,1.398,,,
2635,0025-1909,2.482,3.399,2.672,,,
2635,0025-1909,2.482,3.399,2.672,,,
2635,1520-9512,2.482,2.376,0.699,,,
2640,1471-2172,2.481,2.710,0.816,,,
2640,1754-1611,2.481,Not Available,Not Available,,,
2642,1015-2008,2.480,2.168,0.545,,,
2643,1075-9964,2.479,2.628,0.699,,,
2643,1438-793X,2.479,3.148,0.798,,,
2643,1364-5072,2.479,2.611,0.720,,,
2646,0967-3849,2.478,2.685,1.123,,,
2647,0278-2626,2.477,3.335,1.072,,,
2647,0278-2626,2.477,3.335,1.072,,,
2647,0361-0128,2.477,3.470,1.111,,,
2647,1479-6694,2.477,2.886,0.840,,,
2647,0027-3171,2.477,4.084,2.689,,,
2647,0027-3171,2.477,4.084,2.689,,,
2653,0301-472X,2.475,2.746,0.963,,,
2653,1558-7916,2.475,2.604,0.697,,,
2653,0091-2700,2.475,2.485,0.722,,,
2653,0022-0167,2.475,3.879,1.569,,,
2657,0014-312X,2.474,1.526,0.440,,,
2657,0960-3085,2.474,2.824,0.683,,,
2657,1063-6536,2.474,2.987,1.127,,,
2657,0022-510X,2.474,2.535,0.761,,,
2657,1570-6443,2.474,2.687,0.953,,,
2662,0196-3635,2.473,2.559,0.758,,,
2662,1532-4435,2.473,4.771,3.228,,,
2664,0018-9383,2.472,2.512,0.790,,,
2664,1567-5769,2.472,2.707,0.623,,,
2664,1099-498X,2.472,2.206,0.555,,,
2664,0146-8693,2.472,3.380,1.110,,,
2664,0271-5317,2.472,2.615,0.656,,,
2669,0027-5514,2.471,2.533,0.789,,,
2669,0028-1298,2.471,2.329,0.580,,,
2671,0006-8314,2.470,2.590,1.004,,,
2671,0738-081X,2.470,2.556,0.683,,,
2671,1556-6811,2.470,2.538,0.775,,,
2671,0016-6480,2.470,2.840,0.719,,,
2671,0022-1910,2.470,2.577,0.719,,,
2676,0001-5962,2.469,3.549,5.996,,,
2676,1871-5206,2.469,2.974,0.697,,,
2678,0169-1317,2.467,3.246,0.674,,,
2678,1369-703X,2.467,2.989,0.705,,,
2678,0165-5728,2.467,2.756,0.760,,,
2678,0165-1781,2.467,2.947,0.849,,,
2678,0165-1781,2.467,2.947,0.849,,,
2683,0022-3484,2.466,2.438,0.623,,,
2684,1096-7516,2.463,2.903,0.817,,,
2685,1434-5161,2.462,2.289,0.731,,,
2686,1072-4133,2.461,2.503,0.668,,,
2687,0914-8779,2.460,2.349,0.706,,,
2687,0304-4017,2.460,2.635,0.553,,,
2689,0092-640X,2.458,2.254,0.830,,,
2689,1076-8998,2.458,3.941,1.605,,,
2689,1612-2011,2.458,2.336,0.600,,,
2692,1323-8930,2.457,Not Available,Not Available,,,
2692,0732-8893,2.457,2.277,0.720,,,
2692,0022-2631,2.457,2.407,0.726,,,
2692,0090-502X,2.457,2.577,1.063,,,
2692,0032-2687,2.457,2.898,1.053,,,
2697,0268-1315,2.456,2.833,0.736,,,
2697,0185-1101,2.456,1.671,0.989,,,
2699,1612-8850,2.453,2.417,0.568,,,
2700,1747-938X,2.452,3.730,1.541,,,
2701,1612-9202,2.451,2.618,0.829,,,
2701,0888-613X,2.451,2.510,0.683,,,
2701,1614-2942,2.451,2.563,0.606,,,
2704,1170-7690,2.450,2.574,0.876,,,
2704,1170-7690,2.450,2.574,0.876,,,
2704,0081-1750,2.450,4.021,3.262,,,
2704,0043-8871,2.450,4.020,3.551,,,
2708,0179-1958,2.449,2.587,0.761,,,
2709,1476-072X,2.447,2.825,0.956,,,
2709,0049-3848,2.447,2.455,0.770,,,
2711,0364-0213,2.446,3.080,1.376,,,
2711,1432-8488,2.446,2.552,0.518,,,
2713,0931-2250,2.444,2.601,0.633,,,
2713,0743-0167,2.444,2.768,0.813,,,
2713,1868-4483,2.444,2.444,0.693,,,
2716,1057-9249,2.443,3.285,1.046,,,
2716,1057-9249,2.443,3.285,1.046,,,
2718,0930-7516,2.442,2.013,0.423,,,
2718,0015-8208,2.442,1.204,0.541,,,
2718,1526-484X,2.442,2.592,0.593,,,
2718,0047-2875,2.442,3.194,0.676,,,
2718,1740-8776,2.442,3.078,1.198,,,
2723,0095-5108,2.441,2.773,0.972,,,
2723,0949-944X,2.441,1.989,0.678,,,
2725,0893-0341,2.440,3.092,1.033,,,
2725,0925-4773,2.440,2.443,1.023,,,
2725,1541-6933,2.440,2.602,0.845,,,
2728,1367-5435,2.439,2.780,0.693,,,
2729,1046-7408,2.438,3.073,0.864,,,
2730,1946-6536,2.436,2.462,0.794,,,
2730,1047-7047,2.436,3.756,1.587,,,
2730,0263-7863,2.436,2.758,0.539,,,
2730,0304-3991,2.436,2.474,0.935,,,
2734,0275-2565,2.435,2.462,0.705,,,
2734,1752-0509,2.435,2.917,0.968,,,
2736,0021-9991,2.434,3.120,1.447,,,
2737,1552-3098,2.432,3.358,1.544,,,
2738,1049-8001,2.429,3.342,1.045,,,
2739,0378-3839,2.428,2.757,0.878,,,
2739,1545-5955,2.428,2.499,0.768,,,
2739,1757-2215,2.428,2.534,0.610,,,
2742,1354-523X,2.427,2.506,0.679,,,
2743,0001-6349,2.426,2.287,0.738,,,
2743,1936-0584,2.426,3.086,0.954,,,
2743,1529-9430,2.426,3.093,1.105,,,
2746,0925-4927,2.424,3.411,1.016,,,
2747,1087-0571,2.423,2.194,0.665,,,
2748,1175-3277,2.422,2.105,0.653,,,
2748,0009-3084,2.422,2.697,0.788,,,
2748,0030-2414,2.422,2.578,0.708,,,
2751,0960-894X,2.420,2.317,0.508,,,
2751,0012-1592,2.420,2.116,0.832,,,
2751,0723-2632,2.420,2.373,0.770,,,
2754,0936-5214,2.419,2.279,0.555,,,
2755,0363-907X,2.418,2.664,0.514,,,
2755,0033-0620,2.418,3.552,1.298,,,
2757,1747-4124,2.417,Not Available,Not Available,,,
2757,2168-0566,2.417,2.417,1.313,,,
2757,2168-0566,2.417,2.417,1.313,,,
2760,2046-6390,2.416,2.432,1.124,,,
2760,0929-1903,2.416,2.328,0.616,,,
2760,0929-7049,2.416,2.932,0.964,,,
2760,0023-6438,2.416,3.095,0.746,,,
2760,1420-3049,2.416,2.791,0.605,,,
2765,1383-5718,2.415,2.780,0.660,,,
2766,1541-9061,2.414,1.983,0.444,,,
2766,0167-8299,2.414,2.538,0.729,,,
2768,0278-6826,2.413,2.751,0.979,,,
2768,1070-9932,2.413,2.526,1.140,,,
2770,1046-3283,2.412,3.881,2.250,,,
2770,1751-1577,2.412,2.932,0.581,,,
2770,0969-8051,2.412,2.403,0.660,,,
2770,1075-2730,2.412,3.013,0.980,,,
2770,1075-2730,2.412,3.013,0.980,,,
2775,1933-6950,2.410,2.549,0.974,,,
2775,0951-8320,2.410,2.693,0.826,,,
2777,0919-8172,2.409,2.165,0.582,,,
2777,0021-891X,2.409,2.254,0.515,,,
2777,1051-0443,2.409,2.355,0.678,,,
2777,0959-8103,2.409,2.340,0.521,,,
2781,1556-6013,2.408,2.818,0.982,,,
2782,1061-5377,2.407,2.717,0.878,,,
2782,0142-7873,2.407,2.641,0.825,,,
2782,1568-7767,2.407,3.974,1.099,,,
2785,2167-8421,2.405,2.594,0.818,,,
2786,1471-2466,2.404,Not Available,Not Available,,,
2786,1742-5468,2.404,1.935,0.920,,,
2788,1549-8328,2.403,2.634,1.284,,,
2788,2049-632X,2.403,2.418,0.691,,,
2788,1120-1797,2.403,2.075,0.595,,,
2791,0300-9564,2.402,2.732,0.747,,,
2792,0884-5336,2.401,2.270,0.650,,,
2793,0195-9255,2.400,2.540,0.640,,,
2793,1470-3203,2.400,2.180,0.453,,,
2793,1031-3613,2.400,2.615,0.759,,,
2796,0940-5429,2.399,2.509,0.656,,,
2797,1552-4949,2.398,2.298,0.608,,,
2797,0018-7267,2.398,3.187,1.415,,,
2797,1003-9953,2.398,2.142,0.443,,,
2797,1522-2152,2.398,2.480,0.889,,,
2801,1471-2156,2.397,2.896,0.898,,,
2801,1439-7595,2.397,2.086,0.572,,,
2803,0001-6314,2.395,2.359,0.739,,,
2803,0016-0032,2.395,2.422,0.542,,,
2805,0095-0696,2.394,2.923,1.882,,,
2805,1061-0278,2.394,1.967,0.479,,,
2807,1084-2020,2.393,2.158,0.649,,,
2807,1534-7362,2.393,3.113,1.140,,,
2807,0300-8177,2.393,2.367,0.597,,,
2810,1076-0296,2.392,1.552,0.417,,,
2811,0025-3162,2.391,2.569,0.805,,,
2812,0304-8608,2.390,2.205,0.602,,,
2812,1056-8719,2.390,Not Available,Not Available,,,
2814,1615-3375,2.389,3.566,3.476,,,
2815,1090-9516,2.388,3.526,1.123,,,
2816,0867-5910,2.386,2.572,0.496,,,
2816,1545-5009,2.386,2.224,0.799,,,
2816,0267-8373,2.386,4.433,1.560,,,
2819,0006-3525,2.385,2.498,0.797,,,
2819,0748-4518,2.385,3.230,1.679,,,
2821,0021-8456,2.384,3.387,2.418,,,
2821,0162-895X,2.384,2.679,1.640,,,
2823,0017-9310,2.383,2.809,0.737,,,
2823,0022-1120,2.383,2.727,1.154,,,
2823,1547-5654,2.383,2.551,0.858,,,
2826,0960-9776,2.381,2.203,0.737,,,
2826,1545-102X,2.381,2.477,0.723,,,
2826,1545-102X,2.381,2.477,0.723,,,
2829,0002-9483,2.379,2.673,0.848,,,
2829,0002-9483,2.379,2.673,0.848,,,
2829,1076-5174,2.379,2.649,0.789,,,
2829,0040-4039,2.379,2.286,0.438,,,
2833,0260-3055,2.378,2.572,1.173,,,
2834,1742-7835,2.377,2.288,0.550,,,
2834,1054-3139,2.377,2.576,0.839,,,
2834,1524-9050,2.377,3.039,0.770,,,
2834,1098-8823,2.377,2.684,0.797,,,
2838,1058-8388,2.376,2.534,1.035,,,
2838,0163-4356,2.376,2.379,0.626,,,
2840,1751-570X,2.375,2.101,0.646,,,
2841,0425-1644,2.374,2.198,0.506,,,
2841,1094-8341,2.374,2.757,0.831,,,
2843,1077-5595,2.373,3.708,1.220,,,
2843,1932-4553,2.373,3.681,1.869,,,
2845,1723-2007,2.372,2.239,0.536,,,
2845,1440-1681,2.372,2.140,0.584,,,
2847,0022-2461,2.371,2.320,0.592,,,
2847,0896-8446,2.371,2.919,0.577,,,
2847,0946-672X,2.371,2.323,0.542,,,
2850,0720-048X,2.369,2.411,0.762,,,
2850,1007-9327,2.369,2.671,0.647,,,
2850,1863-1959,2.369,2.189,0.672,,,
2853,0376-8929,2.368,3.084,1.129,,,
2853,0022-1996,2.368,2.745,2.815,,,
2853,2152-0828,2.368,2.975,1.034,,,
2856,1868-2529,2.367,2.109,0.466,,,
2857,1063-6560,2.366,3.009,1.376,,,
2857,2164-5515,2.366,2.367,0.680,,,
2857,1660-5527,2.366,2.662,0.635,,,
2860,1882-0778,2.365,2.429,0.794,,,
2860,0960-3115,2.365,2.676,0.902,,,
2860,1471-230X,2.365,2.737,0.750,,,
2860,1022-5528,2.365,2.739,0.707,,,
2864,1040-1237,2.364,2.278,0.616,,,
2864,1040-1237,2.364,2.278,0.616,,,
2864,0020-9910,2.364,2.780,5.257,,,
2864,0941-4355,2.364,2.651,0.824,,,
2868,1755-5914,2.362,2.444,0.726,,,
2868,1536-2310,2.362,2.698,0.689,,,
2870,1534-7354,2.361,2.469,0.602,,,
2870,1530-7085,2.361,2.485,0.726,,,
2870,0036-5521,2.361,2.423,0.677,,,
2873,1472-6785,2.360,Not Available,Not Available,,,
2873,1347-8613,2.360,2.173,0.548,,,
2873,0894-9867,2.360,3.300,1.111,,,
2876,0377-2217,2.358,2.911,0.990,,,
2876,1750-9378,2.358,Not Available,Not Available,,,
2876,0300-9440,2.358,2.600,0.493,,,
2876,0049-4488,2.358,2.479,1.015,,,
2876,0049-4488,2.358,2.479,1.015,,,
2881,1867-0334,2.357,2.057,0.567,,,
2881,1064-7554,2.357,2.961,1.069,,,
2883,1748-3182,2.354,2.544,0.962,,,
2884,1386-1425,2.353,2.360,0.358,,,
2885,1432-6981,2.352,2.475,0.655,,,
2885,0883-9115,2.352,2.558,0.364,,,
2885,2095-4956,2.352,2.352,0.420,,,
2885,1526-8004,2.352,3.246,1.016,,,
2889,1462-8910,2.351,2.356,0.733,,,
2889,1528-7394,2.351,2.042,0.448,,,
2889,0145-2126,2.351,2.419,0.769,,,
2889,0306-3127,2.351,2.678,1.301,,,
2889,0306-3127,2.351,2.678,1.301,,,
2894,0340-5443,2.350,2.929,1.023,,,
2895,0268-2575,2.349,2.616,0.614,,,
2895,1684-1182,2.349,1.869,0.558,,,
2895,0032-5910,2.349,2.437,0.538,,,
2898,0263-8762,2.348,2.528,0.629,,,
2899,1442-6404,2.347,2.140,0.691,,,
2899,0018-9294,2.347,2.567,0.761,,,
2899,1023-3830,2.347,2.270,0.589,,,
2899,0146-6615,2.347,2.368,0.664,,,
2903,0953-8984,2.346,2.507,1.004,,,
2903,0952-3278,2.346,2.895,0.819,,,
2905,0367-326X,2.345,2.466,0.531,,,
2906,0735-7036,2.344,2.286,0.892,,,
2906,0735-7036,2.344,2.286,0.892,,,
2908,0895-8696,2.343,2.332,0.628,,,
2909,1389-2029,2.342,3.257,1.007,,,
2909,1878-6146,2.342,2.405,0.689,,,
2911,1471-2121,2.341,2.936,0.920,,,
2911,0958-0344,2.341,2.476,0.555,,,
2913,0142-2782,2.340,2.195,0.545,,,
2913,1540-2002,2.340,2.405,0.815,,,
2913,1541-1672,2.340,2.479,0.966,,,
2916,1715-5312,2.339,2.680,0.820,,,
2916,1526-2375,2.339,2.645,0.884,,,
2916,0031-0182,2.339,2.942,0.996,,,
2916,1538-6341,2.339,2.781,1.118,,,
2920,0010-8847,2.338,2.279,1.061,,,
2920,1529-7535,2.338,2.525,0.891,,,
2922,0009-2509,2.337,2.674,0.719,,,
2923,0923-9820,2.336,2.228,0.559,,,
2923,0013-0133,2.336,3.488,3.869,,,
2925,0004-5632,2.335,2.170,0.652,,,
2925,0010-7824,2.335,2.847,0.919,,,
2925,1369-3786,2.335,2.325,0.681,,,
2928,0963-0643,2.333,1.938,0.637,,,
2928,1747-6348,2.333,Not Available,Not Available,,,
2928,0892-7537,2.333,2.615,0.687,,,
2928,1478-4092,2.333,2.521,0.761,,,
2932,1475-6366,2.332,1.752,0.388,,,
2933,0022-2720,2.331,2.144,0.781,,,
2934,1049-3867,2.330,2.396,0.865,,,
2935,0167-6636,2.329,2.598,0.990,,,
2935,1360-2276,2.329,2.895,1.006,,,
2937,0886-4470,2.327,2.305,0.790,,,
2938,0885-8969,2.326,3.392,1.126,,,
2938,0018-9448,2.326,3.002,1.447,,,
2940,0889-2229,2.325,2.162,0.718,,,
2940,0108-7673,2.325,2.262,0.935,,,
2940,0953-2048,2.325,2.045,0.812,,,
2943,0168-1702,2.324,2.733,0.786,,,
2944,0001-5172,2.322,2.399,0.799,,,
2944,0037-1106,2.322,2.390,1.044,,,
2944,1558-7673,2.322,2.157,0.613,,,
2944,0141-0229,2.322,2.932,0.709,,,
2944,0734-2101,2.322,1.857,0.521,,,
2944,0163-5581,2.322,2.693,0.662,,,
2944,0890-9091,2.322,2.196,0.878,,,
2944,0962-8819,2.322,2.208,0.571,,,
2952,0169-7439,2.321,2.770,0.726,,,
2952,1535-3958,2.321,2.957,0.726,,,
2952,0304-3800,2.321,2.725,0.827,,,
2952,1099-0062,2.321,1.994,0.519,,,
2952,0740-624X,2.321,2.453,0.458,,,
2957,2045-7758,2.320,2.343,0.838,,,
2958,0036-021X,2.318,2.868,0.738,,,
2959,1027-3719,2.315,2.245,0.775,,,
2960,0031-3998,2.314,2.859,0.973,,,
2961,0167-9236,2.313,2.933,0.846,,,
2962,0889-311X,2.312,2.825,1.092,,,
2962,0005-7916,2.312,2.603,0.870,,,
2962,1050-8406,2.312,2.813,1.614,,,
2965,1552-5007,2.311,2.464,0.850,,,
2965,1178-6930,2.311,2.088,0.534,,,
2967,1570-2820,2.310,1.479,0.971,,,
2968,1875-9637,2.309,2.934,0.940,,,
2968,1536-1241,2.309,2.078,0.679,,,
2970,1942-9681,2.308,2.470,0.835,,,
2971,1011-372X,2.307,2.471,0.551,,,
2971,0017-467X,2.307,2.675,0.808,,,
2973,1431-0651,2.306,2.578,0.712,,,
2974,0098-8847,2.305,2.502,1.043,,,
2974,0736-5845,2.305,2.124,0.570,,,
2976,1553-5592,2.304,2.371,0.898,,,
2977,1520-9210,2.303,2.467,1.011,,,
2978,1532-0456,2.301,2.819,0.680,,,
2978,1090-3798,2.301,2.122,0.681,,,
2978,1021-335X,2.301,2.330,0.539,,,
2981,1866-7910,2.300,4.099,1.152,,,
2982,2047-2919,2.298,2.298,0.755,,,
2982,1530-3667,2.298,2.406,0.670,,,
2984,0006-291X,2.297,2.382,0.690,,,
2984,0362-2436,2.297,2.834,0.886,,,
2984,1832-4274,2.297,2.094,0.805,,,
2987,0950-0618,2.296,2.710,0.592,,,
2987,2093-0879,2.296,Not Available,Not Available,,,
2989,0889-8588,2.295,2.131,0.885,,,
2990,0960-1643,2.294,2.684,0.961,,,
2990,0959-5236,2.294,2.474,0.872,,,
2992,1567-5688,2.293,2.376,0.742,,,
2993,0002-9610,2.291,2.744,0.959,,,
2993,0004-5608,2.291,2.550,1.049,,,
2995,1050-5350,2.290,2.639,0.618,,,
2996,1058-2746,2.289,2.740,0.842,,,
2996,1934-5925,2.289,Not Available,Not Available,,,
2998,0025-5408,2.288,2.368,0.458,,,
2998,1539-3755,2.288,2.269,0.859,,,
2998,1661-5425,2.288,2.283,0.814,,,
3001,0706-652X,2.287,2.764,0.970,,,
3002,0378-3774,2.286,3.017,0.821,,,
3003,0022-1031,2.285,3.140,1.743,,,
3004,0888-7543,2.284,2.847,1.024,,,
3005,0959-6836,2.283,3.122,1.018,,,
3005,0148-639X,2.283,2.306,0.688,,,
3007,0960-8931,2.282,2.145,0.638,,,
3008,0008-6568,2.281,3.152,0.857,,,
3008,1757-4749,2.281,2.608,0.638,,,
3010,0279-6015,2.280,3.014,1.266,,,
3011,0144-6657,2.279,2.982,1.080,,,
3012,1079-9893,2.277,1.883,0.425,,,
3013,0096-140X,2.275,3.077,1.209,,,
3013,0096-140X,2.275,3.077,1.209,,,
3013,0009-9120,2.275,2.237,0.595,,,
3013,0018-8158,2.275,2.321,0.686,,,
3013,0142-1123,2.275,2.583,0.747,,,
3018,1028-415X,2.274,2.107,0.525,,,
3018,0079-6107,2.274,3.167,0.998,,,
3020,0066-4103,2.273,1.946,0.601,,,
3020,2041-2851,2.273,2.244,0.675,,,
3022,0741-238X,2.272,2.134,0.607,,,
3023,2044-6055,2.271,2.338,0.936,,,
3023,0341-2040,2.271,2.210,0.642,,,
3025,0001-706X,2.270,2.708,0.731,,,
3025,1471-2288,2.270,3.151,1.330,,,
3025,1936-4954,2.270,5.237,3.168,,,
3025,1869-9510,2.270,2.204,0.981,,,
3029,0883-2927,2.268,2.400,0.747,,,
3029,1050-642X,2.268,2.331,0.762,,,
3031,0001-4826,2.267,3.028,1.692,,,
3031,1474-905X,2.267,2.618,0.699,,,
3033,0031-8655,2.266,2.363,0.603,,,
3033,0926-2040,2.266,2.195,0.682,,,
3035,1088-0224,2.264,2.652,1.134,,,
