"","Level","Points","Journal","ISSN","Econ","ABS","I","A","T"
"484","Level II",60,"British Educational Research Journal","0141-1926",NA,3,2.163,0.635,1.604
"485","Level IV",20,"British Review of Economic Issues","0141-4739",1,NA,NA,NA,NA
"486","Level III",40,"Feminist Review","0141-7789",NA,2,1.51633333333333,0.567666666666667,1.27433333333333
"487","Level I-B",120,"Sociology of Health and Illness","0141-9889",NA,5,2.76666666666667,0.897666666666667,2.21666666666667
"488","Level III",40,"Employee Relations","0142-5455",NA,2,1.97733333333333,0.298666666666667,1.594
"489","Level I-B",120,"Strategic Management Journal","0143-2095",NA,5,7.893,3.174,5.50566666666667
"490","Level IV",20,"Cambridge Economic Policy Review","0143-2532",1,NA,NA,NA,NA
"491","Level III",49.1161760609871,"Fiscal Studies","0143-5671",1,2,1.22833333333333,0.773666666666667,1.031
"492","Level IV",20,"Managerial and Decision Economics","0143-6570",1,2,NA,NA,NA
"493","Level III",40,"Third World Quarterly","0143-6597",NA,2,2.40233333333333,0.827666666666667,1.91933333333333
"494","Level III",40,"International Journal of Manpower","0143-7720",1,2,1.16766666666667,0.292333333333333,0.832
"495","Level IV",20,"Leadership and Organizational Development","0143-7739",NA,1,1.74833333333333,0.297666666666667,1.502
"496","Level II",60,"Economic and Industrial Democracy","0143-831X",1,3,1.721,0.502666666666667,1.73466666666667
"497","Level II",60,"Journal of Time Series Analysis","0143-9782",1,3,1.20866666666667,1.02166666666667,0.849666666666667
"498","Level III",55.1562610250206,"Transport Reviews","0144-1647",NA,2,6.08833333333333,1.57533333333333,5.99966666666667
"499","Level III",40,"Policy Studies","0144-2872",NA,2,1.28533333333333,0.378666666666667,0.924333333333333
"500","No Level",NA,"International Journal of Sociology and Social Policy","0144-333X",NA,1,NA,NA,NA
"501","Level I-B",120,"International Journal of Operations and Production Management","0144-3577",NA,5,5.217,0.786333333333333,3.895
"502","Level IV",20,"Journal of Economic Studies","0144-3585",1,2,NA,NA,NA
"503","Level III",40,"Social Policy and Administration","0144-5596",NA,2,1.77233333333333,0.542,1.53166666666667
"504","No Level",NA,"Construction Management and Economics","0144-6193",NA,2,NA,NA,NA
"505","Level II",60,"British Journal of Social Psychology","0144-6665",NA,3,2.474,1.01366666666667,2.24133333333333
"506","Level III",40,"International Review of Law and Economics","0144-8188",1,2,0.974666666666667,0.495,0.759666666666667
"507","Level III",40,"Behavior and Information Technology","0144-929X",NA,2,1.94633333333333,0.344333333333333,1.53
"508","Level IV",20,"African Economic History","0145-2258",1,NA,NA,NA,NA
"509","Level I-B",120,"Personality and Social Psychology Bulletin","0146-1672",NA,5,3.653,1.77133333333333,2.68733333333333
"510","Level IV",20,"Policy Review","0146-5945",1,NA,NA,NA,NA
"511","Level III",40,"Applied Psychology Measurement","0146-6216",NA,2,1.368,0.755666666666667,1.13466666666667
"512","Level IV",20,"Regulation","0147-0590",1,NA,NA,NA,NA
"513","Level IV",26.7705376031236,"International Journal of Intercultural Relations","0147-1767",NA,1,2.161,0.562666666666667,1.758
"514","Level II",65.3867442819228,"Journal of Comparative Economics","0147-5967",1,3,2.26166666666667,0.951666666666667,1.64533333333333
"515","Level IV",20,"Federal Reserve Bank of New York Quarterly Review","0147-6580",1,NA,NA,NA,NA
"516","Level II",77.1197406605739,"Journal of Business Research","0148-2963",1,3,4.64,0.743333333333333,3.80366666666667
"517","No Level",NA,"Accounting Historians Journal","0148-4184",NA,2,NA,NA,NA
"518","Level IV",20,"Journal of Accounting, Auditing and Finance","0148-558X",1,3,NA,NA,NA
"519","Level IV",20,"Economic and Business Bulletin","0148-6195",1,1,NA,NA,NA
"520","Level IV",20,"Journal of Economics and Business","0148-6195",1,1,NA,NA,NA
"521","Level III",40,"Leisure Sciences","0149-0400",NA,2,2.24133333333333,0.415666666666667,1.83533333333333
"522","Level I-B",120,"Journal of Management","0149-2063",NA,5,12.2566666666667,4.564,8.66266666666667
"523","Level IV",20,"Revue d'Economie Industrielle","0154-3229",1,NA,NA,NA,NA
"524","Level IV",20,"Cahiers d'Economie Politique","0154-8344",1,NA,NA,NA,NA
"525","No Level",NA,"Accounting Forum","0155-9982",NA,3,NA,NA,NA
"526","Level V",18.7230117199815,"Journal of Australian Political Economy","0156-5826",1,NA,0.441,0.137,0.378
"527","Level IV",20,"Quarterly Review of Agricultural Economics","0156-7446",1,NA,NA,NA,NA
"528","Level IV",20,"Quarterly Review of the Rural Economy","0156-7446",1,NA,NA,NA,NA
"529","Level III",49.7303180793625,"International Regional Science Review","0160-0176",1,NA,1.75833333333333,0.56,1.80333333333333
"530","Level III",40,"Journal of Post Keynesian Economics","0160-3477",1,2,0.76,0.198333333333333,0.644333333333333
"531","No Level",NA,"Labor Studies Journal","0160-449X",NA,2,NA,NA,NA
"532","Level II",60,"Journal of the Operational Research Society","0160-5682",NA,3,1.88766666666667,0.522,1.775
"533","Level I-B",120,"Annals of Tourism Research","0160-7383",NA,5,7.16766666666667,1.09566666666667,5.49566666666667
"534","Level III",40,"Journal of Organizational Behavior Management","0160-8061",NA,2,1.075,0.128666666666667,1.25833333333333
"535","Level IV",20,"Federal Reserve Bank of Kansas City Economic Review","0161-2387",1,NA,NA,NA,NA
"536","Level III",40,"Journal of Policy Modeling","0161-8938",1,2,1.45133333333333,0.304,1.32566666666667
"537","Level I-B",122.14116194765,"Journal of the American Statistical Association","0162-1459",1,5,3.67266666666667,3.49366666666667,3.23266666666667
"538","Level IV",20,"Western Journal of Agricultural Economics","0162-1912",1,NA,NA,NA,NA
"539","Level III",40,"Science, Technology & Human Values","0162-2439",NA,2,3.28066666666667,1.159,2.81133333333333
"540","No Level",NA,"Database","0162-4105",NA,2,NA,NA,NA
"541","Level IV",20,"Federal Reserve Bank of Chicago Economic Perspectives","0164-0682",1,NA,NA,NA,NA
"542","Level III",41.6624205637683,"Journal of Macroeconomics","0164-0704",1,2,1.22433333333333,0.485,0.849333333333333
"543","Level III",40,"Journal of Systems and Software","0164-1212",NA,2,2.604,0.583666666666667,2.429
"544","Level IV",20,"Resources and Energy","0165-0572",1,NA,NA,NA,NA
"545","Level II",62.5591663255166,"European Review of Agricultural Economics","0165-1587",1,3,2.53266666666667,0.749,2.13633333333333
"546","Level II",60,"Economics Letters","0165-1765",1,3,1.14966666666667,0.548,1.06733333333333
"547","Level II",62.0404137608996,"Journal of Economic Dynamics and Control","0165-1889",1,3,1.721,1.07633333333333,1.42833333333333
"548","Level I-A",150,"Journal of Accounting and Economics","0165-4101",1,5,6.622,3.62366666666667,3.586
"549","Level III",40,"Mathematical Social Sciences","0165-4896",1,2,0.666,0.457333333333333,0.604333333333333
"550","Level III",40,"Journal of Information Science","0165-5515",NA,2,2.18966666666667,0.426,2.22533333333333
"551","Level II",69.8109112973768,"Regional Science and Urban Economics","0166-0462",1,3,2.34566666666667,1.10633333333333,1.679
"552","Level III",40,"Discrete Applied Mathematics","0166-218X",NA,2,1.03966666666667,0.58,0.985333333333333
"553","Level II",60,"Computers in Industry","0166-3615",NA,3,3.39066666666667,0.504333333333333,3.85766666666667
"554","Level II",60,"Technovation","0166-4972",NA,3,5.98466666666667,1.02833333333333,5.26033333333333
"555","Level IV",20,"Carnegie–Rochester Conference Series on Public Policy","0167-2231",1,NA,NA,NA,NA
"556","Level II",72.4575341104015,"Journal of Economic Behavior and Organization","0167-2681",1,3,2.21333333333333,1.304,1.43033333333333
"557","Level II",80.0846157247345,"Journal of Business Ethics","0167-4544",1,3,4.796,0.801,3.618
"558","Level II",64.5276546095252,"Journal of Economic Psychology","0167-4870",1,2,2.25766666666667,0.918,1.539
"559","Level III",52.5533373707773,"Population Research and Policy Review","0167-5923",1,NA,1.65333333333333,0.697333333333333,1.108
"560","Level III",50.7539343412928,"Information Economics and Policy","0167-6245",1,2,1.59666666666667,0.653666666666667,1.293
"561","Level I-C",111.258936065247,"Journal of Health Economics","0167-6296",1,3,3.95233333333333,2.48666666666667,3.143
"562","Level III",40,"Operations Research Letters","0167-6377",NA,2,0.951666666666667,0.578666666666667,0.720333333333333
"563","Level II",60,"Insurance: Mathematics and Economics","0167-6687",1,3,1.701,0.643,1.313
"564","Level III",40,"Statistics and Probability Letters","0167-7152",NA,2,0.686333333333333,0.435,0.609333333333333
"565","Level II",60,"International Journal of Industrial Organization","0167-7187",1,3,1.32933333333333,1.02533333333333,0.938666666666667
"566","Level IV",20,"Statistical Journal","0167-8000",1,NA,NA,NA,NA
"567","Level I-B",120,"International Journal of Research in Marketing","0167-8116",NA,5,3.38066666666667,1.13633333333333,3.08833333333333
"568","Level II",60,"Decision Support Systems","0167-9236",NA,3,4.97033333333333,1.05066666666667,4.04433333333333
"569","Level II",60,"Computational Statistics & Data Analysis","0167-9473",NA,3,1.656,1.08366666666667,1.23
"570","Level II",71.8399775694958,"European Journal of Population/Revue Européenne de Démographie","0168-6577",1,NA,2.63466666666667,1.069,1.773
"571","Level II",71.8399775694958,"European Journal of Population","0168-6577",1,NA,2.63466666666667,1.069,1.773
"572","Level IV",20,"Journal of Consumer Policy","0168-7034",1,2,NA,NA,NA
"573","Level III",40,"Health Policy","0168-8510",NA,2,2.687,0.867,2.19333333333333
"574","Level II",83.6999523990496,"International Journal of Forecasting","0169-2070",1,3,3.32766666666667,1.30966666666667,2.799
"575","Level II",70.3621610271658,"Agricultural Economics","0169-5150",1,2,2.98433333333333,0.889333333333333,2.13933333333333
"576","Level IV",20.9764261720148,"International Journal of Industrial Ergonomics","0169-8141",NA,1,1.778,0.340666666666667,1.554
"577","Level I-B",120,"Organization Studies","0170-8406",NA,5,5.223,1.858,3.534
"578","Level II",60,"OR Spectrum","0171-6468",1,3,2.21633333333333,0.754666666666667,1.73266666666667
"579","Level II",60,"OR Spektrum","0171-6468",1,3,2.21633333333333,0.754666666666667,1.73266666666667
"580","Level IV",20,"Jahrbuch für Regionalwissenschaft/Review of Regional Research","0173-7600",1,NA,NA,NA,NA
"581","Level IV",20,"Review of Regional Research","0173-7600",1,NA,NA,NA,NA
"582","Level II",60,"Social Choice and Welfare","0176-1714",1,3,0.765333333333333,0.576,0.641666666666667
"583","Level III",57.817950141689,"European Journal of Political Economy","0176-2680",1,2,1.93833333333333,0.781333333333333,1.49133333333333
"584","No Level",NA,"Zeitschrift für Personalforschung (German Journal of Research in Human Resource Management)","0179-6437",NA,2,NA,NA,NA
"585","Level IV",20,"Revue d'Economie Regionale et Urbaine","0180-7307",1,NA,NA,NA,NA
"586","Level IV",20,"Demografía y Economía","0185-0148",1,NA,NA,NA,NA
"587","Level IV",20,"Economia Mexicana, Nueva Epoca","0185-0458",1,NA,NA,NA,NA
"588","Level IV",20,"Comercio Exterior","0185-0601",1,NA,NA,NA,NA
"589","Level V",12.8965859796799,"Investigación Económica","0185-1667",1,NA,0.357,0.0583333333333333,0.320666666666667
"590","Level IV",20,"Análisis Económico","0185-3937",1,NA,NA,NA,NA
"591","Level IV",20,"Contaduría y Administración","0186-1042",1,NA,NA,NA,NA
"592","Level IV",20,"Momento Económico","0186-2901",1,NA,NA,NA,NA
"593","Level IV",20,"Revista de Economía (Universidad Autónoma de Yucatán)","0188-266X",1,NA,NA,NA,NA
"594","Level IV",20,"Economía: Teoría y Práctíca","0188-3380",1,NA,NA,NA,NA
"595","Level IV",20,"Estudios Sociales","0188-4557",1,NA,NA,NA,NA
"596","Level IV",20,"Estudios Económicos (Colegio de México)","0188-6916",1,NA,NA,NA,NA
"597","Level IV",20,"Economía: Teoría y Práctica","0188-8250",1,NA,NA,NA,NA
"598","No Level",NA,"International Journal of Public Administration","0190-0692",NA,2,NA,NA,NA
"599","Level I-C",94.7009651979828,"Policy Studies Journal","0190-292X",1,NA,4.219,1.47,3.51466666666667
"600","Level I-B",120,"Transportation Research: Part B: Methodological","0191-2615",1,5,5.33233333333333,1.37,4.48366666666667
"601","Level II",60,"Research in Organizational Behavior","0191-3085",NA,3,5.05,2.18833333333333,3.09766666666667
"602","Level III",40,"Journal of Nonverbal Behavior","0191-5886",NA,2,2.145,0.860333333333333,1.74066666666667
"603","Level II",60,"Personality and Individual Differences","0191-8869",NA,3,2.514,0.759666666666667,2.09133333333333
"604","Level IV",20,"Research in Law and Economics","0193-5895",1,NA,NA,NA,NA
"605","Level IV",20,"Food Research Institute Studies","0193-9025",1,NA,NA,NA,NA
"606","Level IV",20,"Industrial Organization Review","0194-2875",1,NA,NA,NA,NA
"607","No Level",NA,"International Journal of Sociology of Law","0194-6595",NA,1,NA,NA,NA
"608","Level III",40,"Journal of Labor Research","0195-3613",1,2,0.788333333333333,0.346333333333333,0.581666666666667
"609","Level II",68.3657470750692,"Energy Journal","0195-6574",1,3,2.68433333333333,0.910666666666667,2.32733333333333
"610","Level IV",20,"Economic Forum","0195-8550",1,NA,NA,NA,NA
"611","Level IV",20,"Intermountain Economic Review","0195-8550",1,NA,NA,NA,NA
"612","Level IV",20,"Cybernetics and Systems","0196-9722",NA,1,1.26866666666667,0.226,1.437
"613","Level II",60,"Information Society","0197-2243",NA,3,2.61033333333333,0.764666666666667,2.04233333333333
"614","Level IV",34.5118943056327,"Basic and Applied Social Psychology","0197-3533",NA,1,2.48666666666667,1.01033333333333,2.01666666666667
"615","Level IV",20,"Atlantic Economic Journal","0197-4254",1,1,NA,NA,NA
"616","Level IV",20,"Industry and Development","0197-7253",1,NA,NA,NA,NA
"617","Level IV",20,"Asian Economic Review","0198-8697",1,NA,NA,NA,NA
"618","No Level",NA,"Journal of the American Taxation Association","0198-9073",NA,3,NA,NA,NA
"619","Level IV",20,"Economic Studies","0205-3292",1,NA,NA,NA,NA
"620","Level IV",20,"Revista Española de Economía","0210-1025",1,NA,NA,NA,NA
"621","Level V",16.6156801404271,"Hacienda Pública Española/Review of Public Economics","0210-1173",1,NA,0.455333333333333,0.0943333333333333,0.277666666666667
"622","Level IV",20,"Investigaciones Economicas","0210-1521",1,NA,NA,NA,NA
"623","Level IV",20,"Análisis Financiero","0210-2358",1,NA,NA,NA,NA
"624","Level IV",20,"Spanish Journal of Finance and Accounting","0210-2412",NA,1,0.911333333333333,0.124666666666667,0.75
"625","Level IV",20,"Cuadernos Economicos de I.C.E.","0210-2633",1,NA,NA,NA,NA
"626","Level IV",20,"Papeles de Economía Española","0210-9107",1,NA,NA,NA,NA
"627","Level IV",20,"Pensamiento Iberoamericano: Revista de Economía Política","0212-0208",1,NA,NA,NA,NA
"628","Level IV",20,"EsicMarket","0212-1867",1,NA,NA,NA,NA
"629","Level IV",30.2455792685911,"Revista de Historia Economica/Journal of Iberian and Latin American History","0212-6109",1,NA,0.741666666666667,0.320666666666667,0.576333333333333
"630","Level IV",30.2455792685911,"Revista de Historia Económica","0212-6109",1,NA,0.741666666666667,0.320666666666667,0.576333333333333
"631","Level IV",20,"Ekonomiaz","0213-3865",1,NA,NA,NA,NA
"632","Level IV",20,"Revista de Estudios Regionales","0213-7585",1,NA,NA,NA,NA
"633","Level IV",20,"CIRIEC-España, Revista de Economía Pública, Social y Cooperativa","0213-8093",1,NA,NA,NA,NA
"634","Level IV",25.2623995012424,"Psicothema","0214-9915",NA,1,2.09833333333333,0.491,1.89966666666667
"635","Level IV",20,"ASEAN Economic Bulletin","0217-4472",1,NA,NA,NA,NA
"636","Level II",60,"Asia Pacific Journal of Management","0217-4561",NA,3,3.58533333333333,0.708333333333333,2.75833333333333
"637","Level V",19.3040787615519,"Singapore Economic Review","0217-5908",1,NA,0.57,0.115666666666667,0.611666666666667
"638","Level IV",20,"Asia-Pacific Journal of Operational Research","0217-5959",NA,1,0.640333333333333,0.192666666666667,0.625333333333333
"639","Level IV",20,"Journal of Enterprising Culture","0218-4958",1,1,NA,NA,NA
"640","Level IV",20,"International Journal of Theoretical and Applied Finance","0219-0249",1,2,NA,NA,NA
"641","Level IV",20,"Review of Pacific Basin Financial Markets and Policies","0219-0915",1,NA,NA,NA,NA
"642","Level IV",20,"International Game Theory Review","0219-1989",1,1,NA,NA,NA
"643","Level V",17.8679765085147,"China: An International Journal","0219-7472",1,NA,0.420666666666667,0.125666666666667,0.268
"644","Level IV",20,"Division of Labour and Transaction Costs","0219-8711",1,NA,NA,NA,NA
"645","No Level",NA,"International Journal of Innovation and Technology Management","0219-8770",NA,1,NA,NA,NA
"646","Level IV",20,"La Revue du Financier","0223-0143",1,NA,NA,NA,NA
"647","Level IV",20,"Travail et Emploi","0224-4365",1,NA,NA,NA,NA
"648","Level IV",38.4316117470068,"Canadian Journal of Development Studies","0225-5189",1,NA,1.23,0.383333333333333,0.949666666666667
"649","Level IV",22.8411926758069,"Optimization: A Journal of Mathematical Programming and Operations Research","0233-1934",NA,1,1.261,0.612666666666667,1.29866666666667
"650","Level IV",20,"Economie et Prévision","0249-4744",1,NA,NA,NA,NA
"651","No Level",NA,"Tourism Recreation Research","0250-8281",NA,2,NA,NA,NA
"652","Level IV",20,"International Journal for Educational and Vocational Change","0251-2513",NA,1,1.141,0.226,1.07066666666667
"653","Level V",19.0210904923966,"CEPAL Review","0251-2920",1,NA,0.561,0.112666666666667,0.407333333333333
"654","Level IV",20,"Revista Ciencias Económicas","0252-9521",1,NA,NA,NA,NA
"655","Level IV",20,"Journal of Economic Cooperation among Islamic Countries","0252-953X",1,NA,NA,NA,NA
"656","Level IV",20,"Journal of the Social Sciences","0253-1097",1,NA,NA,NA,NA
"657","Level IV",20,"Economia (Pontifical Catholic University of Peru)","0254-4415",1,NA,NA,NA,NA
"658","Level II",60,"Annals of Operations Research","0254-5330",NA,3,2.26133333333333,0.634333333333333,2.24366666666667
"659","Level IV",20,"Journal of Economic Development","0254-8372",1,NA,NA,NA,NA
"660","Level IV",20,"Pakistan Journal of Applied Economics","0254-9204",1,NA,NA,NA,NA
"661","Level IV",20,"OECD Economic Studies","0255-0822",1,NA,NA,NA,NA
"662","Level III",40,"Queuing Systems","0257-0130",NA,2,1.041,0.703,1.033
"663","Level I-C",116.134962803815,"World Bank Research Observer","0257-3032",1,2,3.84633333333333,2.88833333333333,2.44433333333333
"664","Level IV",20,"EIB Papers","0257-7755",1,NA,NA,NA,NA
"665","Level II",75.5008596156557,"World Bank Economic Review","0258-6770",1,3,2.27166666666667,1.429,1.785
"666","Level IV",20,"Journal of Interdisciplinary Economics","0260-1079",1,1,NA,NA,NA
"667","Level II",66.1847296361529,"Review of International Studies","0260-2105",1,NA,2.30033333333333,0.968666666666667,1.934
"668","No Level",NA,"Museum Management and Curatorship","0260-4779",NA,2,NA,NA,NA
"669","No Level",NA,"Equality, Diversity and Inclusion: an International Journal","0261-0159",NA,1,NA,NA,NA
"670","Level III",40,"Critical Social Policy","0261-0183",NA,2,2.631,0.861666666666667,2.29266666666667
"671","Level II",60,"Electoral Studies","0261-3794",NA,3,2.02866666666667,1.207,1.35466666666667
"672","Level III",40,"Leisure Studies","0261-4367",NA,2,2.14866666666667,0.422,1.72933333333333
"673","Level I-B",120,"Tourism Management","0261-5177",NA,5,7.96633333333333,1.05633333333333,6.455
"674","Level II",68.2099826565429,"Journal of International Money and Finance","0261-5606",1,3,2.552,0.951666666666667,1.80566666666667
"675","Level III",40,"Journal of Language And Social Psychology","0261-927X",NA,2,1.678,0.602333333333333,1.13633333333333
"676","No Level",NA,"Journal of Management Development","0262-1711",NA,1,NA,NA,NA
"677","Level IV",20,"West African Financial and Economic Review","0263-0699",1,NA,NA,NA,NA
"678","Level III",40,"European Management Journal","0263-2373",NA,2,3.74533333333333,0.652666666666667,2.57433333333333
"679","Level II",60,"Theory Culture and Society","0263-2764",NA,3,2.85466666666667,1.06966666666667,2.202
"680","No Level",NA,"Facilities","0263-2772",NA,1,NA,NA,NA
"681","Level III",40,"Journal of Law and Society","0263-323X",NA,2,1.068,0.294,0.860333333333333
"682","No Level",NA,"Marketing Intelligence and Planning","0263-4503",NA,1,NA,NA,1.72333333333333
"683","Level III",40,"Industrial Management and Data Systems","0263-5577",NA,2,3.507,0.448,3.33466666666667
"684","No Level",NA,"Property Management","0263-7472",NA,1,NA,NA,NA
"685","Level IV",20,"Environment and Planning C: Government and Policy","0263-774X",1,NA,NA,NA,NA
"686","Level I-B",120,"Environment and Planning D: Society and Space","0263-7758",NA,5,3.39133333333333,1.33133333333333,2.959
"687","Level III",41.7228603228672,"International Journal of Project Management","0263-7863",NA,2,5.758,0.750333333333333,5.21233333333333
"688","Level III",40,"Service Industries Journal","0264-2069",NA,2,1.87166666666667,0.274666666666667,1.596
"689","Level III",40,"Cities","0264-2751",NA,2,4.26966666666667,0.750666666666667,3.78633333333333
"690","Level III",48.7585184252927,"Economic Modelling","0264-9993",1,2,2.13133333333333,0.436666666666667,1.894
"691","Level III",40,"International Journal of Advertising","0265-0487",NA,2,3.13633333333333,0.652666666666667,2.778
"692","Level IV",20,"Economic Affairs (Institute of Economic Affairs)","0265-0665",1,NA,NA,NA,NA
"693","Level II",60,"International Marketing Review","0265-1335",NA,3,3.82566666666667,0.591,2.98466666666667
"694","No Level",NA,"International Journal of Bank Marketing","0265-2323",NA,1,NA,NA,2.43
"695","No Level",NA,"International Journal of Quality and Reliability Management","0265-671X",NA,2,NA,NA,NA
"696","Level II",60,"International Small Business Journal","0266-2426",NA,3,4.96233333333333,0.774,3.78733333333333
"697","Level III",50.1297219744731,"Economics and Philosophy","0266-2671",1,2,1.35833333333333,0.741666666666667,1.066
"698","Level I-B",120,"Economic Policy: A European Forum","0266-4658",1,3,4.27233333333333,3.07,3.596
"699","Level I-B",120,"Economic Policy","0266-4658",1,3,4.27233333333333,3.07,3.596
"700","Level I-B",120,"Econometric Theory","0266-4666",1,5,1.366,1.86933333333333,1.159
"701","Level III",40,"Expert Systems: the Journal of Knowledge Engineering","0266-4720",NA,2,1.51733333333333,0.268666666666667,1.49366666666667
"702","Level III",40,"Journal of Applied Statistics","0266-4763",NA,2,0.852333333333333,0.338666666666667,0.832333333333333
"703","Level II",60,"European Sociological Review","0266-7215",NA,3,3.40533333333333,1.54033333333333,2.46066666666667
"704","Level II",65.9567056289368,"Oxford Review of Economic Policy","0266-903X",1,2,2.30633333333333,0.956666666666667,2.42466666666667
"705","No Level",NA,"Journal of Marketing Management","0267-257X",NA,2,NA,NA,2.11333333333333
"706","Level III",59.1972172100895,"Housing Studies","0267-3037",1,NA,2.311,0.701,1.92533333333333
"707","No Level",NA,"Financial Accountability and Management","0267-4424",NA,3,NA,NA,NA
"708","Level III",40,"International Journal of Technology Management","0267-5730",NA,2,1.649,0.275,1.12566666666667
"709","Level II",60,"Work and Stress","0267-8373",NA,3,4.965,1.52433333333333,3.11166666666667
"710","Level III",40,"Journal of Education Policy","0268-0939",NA,2,3.38066666666667,0.903333333333333,2.726
"711","Level II",60,"New Technology, Work and Employment","0268-1072",NA,3,2.64066666666667,0.594666666666667,1.969
"712","Level II",78.4420505515828,"Health Policy and Planning","0268-1080",1,NA,3.18633333333333,1.13633333333333,2.61366666666667
"713","Level III",40," Information Technology for Development","0268-1102",NA,2,1.96633333333333,0.275666666666667,1.871
"714","Level II",60,"Journal of Managerial Psychology","0268-3946",NA,3,2.30266666666667,0.572,1.44733333333333
"715","Level II",60,"Journal of Information Technology","0268-3962",NA,3,5.122,1.29966666666667,3.795
"716","Level III",46.1434620136409,"International Journal of Information Management","0268-4012",NA,2,6.609,0.871666666666667,5.92966666666667
"717","Level III",40,"Current Sociology","0268-5809",NA,2,1.455,0.54,1.148
"718","No Level",NA,"Managerial Auditing Journal","0268-6902",NA,2,NA,NA,1.209
"719","Level IV",20,"Local Economy","0269-0942",1,2,NA,NA,NA
"720","Level IV",20,"International Review of Applied Economics","0269-2171",1,1,NA,NA,NA
"721","Level II",60,"Applied Psychology: An International Review","0269-994X",NA,3,3.405,1.21666666666667,2.85433333333333
"722","Level IV",20,"American Real Estate and Urban Economics Association Journal","0270-0484",1,NA,NA,NA,NA
"723","Level IV",20,"Journal of the American Real Estate and Urban Economics Association","0270-0484",1,NA,NA,NA,NA
"724","Level II",60,"Journal of Financial Research","0270-2592",1,3,2.106,0.394,1.20466666666667
"725","Level II",60,"Journal of Futures Markets","0270-7314",1,3,1.40733333333333,0.421,1.38233333333333
"726","Level III",40,"Public Administration and Development","0271-2075",NA,2,1.558,0.360666666666667,1.23933333333333
"727","Level IV",20,"Federal Reserve Bank of Minneapolis Quarterly Review","0271-5287",1,NA,NA,NA,NA
"728","Level I-B",120,"Risk Analysis: An International Journal","0272-4332",NA,5,3.298,0.95,2.86633333333333
"729","Level I-B",120,"Journal of Operations Management","0272-6963",NA,5,9.23666666666667,2.50466666666667,5.78266666666667
"730","Level II",72.5759049946177,"Economics of Education Review","0272-7757",1,2,2.24433333333333,1.292,1.38866666666667
"731","Level IV",20,"Cato Journal","0273-3072",1,NA,NA,NA,NA
"732","No Level",NA,"Journal of Marketing Education","0273-4753",NA,2,NA,NA,NA
"733","Level II",60,"American Review of Public Administration","0275-0740",NA,3,2.777,0.814666666666667,2.412
"734","Level IV",20,"Public Budgeting and Finance","0275-1100",1,NA,NA,NA,NA
"735","Level IV",20,"Research in International Business and Finance","0275-5319",1,2,NA,NA,NA
"736","No Level",NA,"Journal of Business Strategy","0275-6668",NA,1,NA,NA,NA
"737","Level III",40,"Journal of Macromarketing","0276-1467",NA,2,2.38166666666667,0.344333333333333,1.80366666666667
"738","Level IV",20,"Housing Finance Review","0276-4415",1,NA,NA,NA,NA
"739","Level I-B",120,"MIS Quarterly","0276-7783",NA,5,10.1876666666667,2.96366666666667,5.05466666666667
"740","Level I-B",120,"Journal of Policy Analysis and Management","0276-8739",1,3,4.661,3.14433333333333,4.09666666666667
"741","Level IV",20,"OPEC Review","0277-0180",1,NA,NA,NA,NA
"742","No Level",NA,"Business and Professional Ethics","0277-2027",NA,1,NA,NA,NA
"743","Level IV",20,"Contributions to Political Economy","0277-5921",1,2,NA,NA,NA
"744","Level III",42.8443655799866,"Journal of Forecasting","0277-6693",1,2,1.289,0.499,1.10666666666667
"745","Level I-B",120,"Social Science and Medicine","0277-9536",NA,5,4.039,1.44433333333333,3.23666666666667
"746","Level II",60,"Auditing: A Journal of Practice and Theory","0278-0380",NA,3,3.73266666666667,0.862,2.38633333333333
"747","Level II",60,"Journal of Accounting and Public Policy","0278-4254",NA,3,3.35566666666667,0.606,2.13866666666667
"748","Level II",60,"International Journal of Hospitality Management","0278-4319",NA,3,5.97133333333333,0.748666666666667,4.87033333333333
"749","Level IV",36.9168554767158,"Journal of Manufacturing Systems","0278-6125",NA,1,4.17966666666667,0.728666666666667,4.14866666666667
"750","Level IV",20,"Studies in Regional Science","0287-6256",1,NA,NA,NA,NA
"751","Level IV",20,"Monetary and Economic Studies","0288-8432",1,NA,NA,NA,NA
"752","Level III",40,"Local Government Studies","0300-3930",NA,2,1.862,0.454333333333333,1.72466666666667
"753","Level IV",20,"Economics: The Journal of the Economics Association","0300-4287",1,NA,NA,NA,NA
"754","Level II",68.8318216708405,"Resources Policy","0301-4207",1,2,3.95,0.631,3.28866666666667
"755","Level I-C",91.8956386403706,"Energy Policy","0301-4215",1,2,5.39633333333333,1.05466666666667,4.65366666666667
"756","Level II",60,"Journal of Environmental Management","0301-4797",NA,3,5.03966666666667,0.889666666666667,4.839
"757","Level IV",20,"Problemas del Desarrollo","0301-7036",1,NA,NA,NA,NA
"758","Level IV",20,"Mondes en Développement","0302-3052",1,NA,NA,NA,NA
"759","Level III",40,"Science and Public Policy","0302-3427",NA,2,2.07733333333333,0.516,1.55766666666667
"760","Level IV",20,"Agrekon","0303-1853",1,1,0.587666666666667,0.118,0.585
"761","Level II",60,"Scandinavian Journal of Statistics","0303-6898",NA,3,1.28633333333333,1.22533333333333,0.946333333333333
"762","Level III",54.5617520012237,"Social Indicators Research","0303-8300",1,NA,2.23966666666667,0.573,1.74166666666667
