Level,Points,Journal,ISSN,Econ,ABS,I,A,T,B.Points,,,
Level IV,20.000,Choices,2162-2884,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Ciencia, Economía y Negocios",2613-876X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,CIMEXUS,1870-6479,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"CIRIEC-España, Revista de Economía Pública, Social y Cooperativa",0213-8093,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Cityscape: A Journal of Policy Development and Research,0097-7195,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Climate Change Economics,2010-0078,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Clío América,1909-941X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Colección Estudios CIEPLAN,0716-0631,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Columbia Journal of World Business,0022-5428,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Comercio Exterior,0185-0601,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Communications and Strategies,1157-8637,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Communist Economies and Economic Transformation,1351-4393,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Comparative Economic Research,1508-2008,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Comparative Economic Studies,0888-7233,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Comparative Technology Transfer and Society,1542-0132,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Competition and Change,1024-5294,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Competition and Regulation in Network Industries,1783-5917,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Competition Policy International,1554-0189,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Competitiveness Review,1059-5422,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Computational Management Science,1619-697X,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Computer Science in Economics and Management,0921-2736,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Consommation,0010-6593,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Constitutional Political Economy,1043-4062,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Contaduría y Administración,0186-1042,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Contemporary Economics,1897-9254,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Contemporary Policy Issues,0735-0007,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Contributions to Economic Analysis and Policy,1538-0645,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Contributions to Macroeconomics,1534-6005,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Contributions to Political Economy,0277-5921,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Contributions to Theoretical Economics,1534-5971,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Corporate Ownership and Control,1727-9232,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Coyuntura Económica: Investigación Económica y Social,0120-3576,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Coyuntura Social,0121-2532,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Credit and Capital Markets/Kredit und Kapital,2199-1227,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Criterio Libre,1900-0642,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Critical Finance Review,2164-5744,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Critical Housing Analysis,2336-2839,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Croatian Economic Survey,1330-4860,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Croatian International Relations Review,1848-5782,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Croatian Operational Research Review,1848-0225,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Croatian Review of Economic, Business and Social Statistics",1849-8531,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Cross-Cultural Management Journal,2286-0452,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Cuadernos de Economia (National University of Colombia),0121-4772,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Cuadernos de Economia (Pontifical Catholic University of Chile),0716-0046,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Cuadernos Economicos de I.C.E.,0210-2633,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Cyprus Journal of Economics,1013-3224,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Cyprus Review,1015-2881,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Czechoslovak Economic Digest,0045-9461,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Czechoslovak Economic Papers,0590-5001,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Danube: Law and Economics Review,1804-6746,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Data Envelopment Analysis Journal,2161-1823,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Decisions in Economics and Finance,1593-8883,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Defence Economics,1043-0717,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Delaware Journal of Corporate Law,0364-9490,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Demografía y Economía,0185-0148,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Desarrollo Económico,0046-001X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Desarrollo y Sociedad,0120-3584,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Development,1011-6370,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Development and Finance/Fejlesztés és Finanszírozás: Quarterly Hungarian Economic Review,1589-3820,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Die Unternehmung/Swiss Journal of Business Research and Practice,0042-059X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Digital Policy, Regulation and Governance",2398-5038,1,0,NA,NA,NA,NA,,,
Level IV,20.000,DigiWorld Economic Journal,1157-8637,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Dimensión Empresarial,1692-8563,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Division of Labour and Transaction Costs,0219-8711,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Dogus University Journal,1302-6739,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Dokuz Eylul University Faculty of Economic and Administrative Sciences Journal,1302-504X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,e-Finanse,1734-039X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,e-Pública,1885-5628,1,0,NA,NA,NA,NA,,,
Level IV,20.000,East–West Journal of Economics and Business,2241-3170,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"East–West Series in Economics, Business, and the Environment",1108-2992,1,0,NA,NA,NA,NA,,,
Level IV,20.000,East Asian Economic Review,2508-1640,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eastern Africa Economic Review,1011-4750,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eastern Economic Journal,0094-5056,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Eastern European Business and Economics Journal,2256-0521,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Econometric Research in Finance,2451-1935,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Econometrics,2225-1146,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Econometrics Letters,2148-6212,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia (Pontifical Catholic University of Peru),0254-4415,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia (Portuguese Catholic University),0870-3531,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia (Universidad de Los Andes): Nueva Etapa,1315-2467,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia (University of Brazil),1517-7580,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economía Agraria,0717-3520,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economía Agraria y Recursos Naturales,1578-0732,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia Agro-alimentare,1126-1668,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia Aplicada/Brazilian Journal of Applied Economics,1413-8050,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economía Chilena,0717-3830,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia dei Servizi,1970-4860,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia delle Fonti di Energia e dell'Ambiente/Economics and Policy of Energy and the Environment,2280-7659,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia delle Scelte Pubbliche/Journal of Public Finance and Public Choice,1120-7019,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia e Diritto Agroalimentare,1826-0373,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia e Lavoro,0012-978X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia e Politica Industriale,0391-2078,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economia e Sociedade,0104-0618,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia e Società Regionale,1827-2479,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia Industrial,0422-2784,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia Internazionale,0012-981X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia Internazionale/International Economics,0012-981X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia Internazionale/International Economics,2499-8265,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Economia Mexicana, Nueva Epoca",0185-0458,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia Pubblica,0390-6140,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economía y Desarrollo,1692-3901,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia y Region,1692-8989,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economía: Journal of the Latin American and Caribbean Economic Association,1529-7470,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economia: Seria Management,1454-0320,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economía: Teoría y Práctica,0188-8250,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economía: Teoría y Práctíca,0188-3380,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Affairs,0424-2513,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Affairs (Institute of Economic Affairs),0265-0665,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Alternatives,1312-5281,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Analysis and Policy,0313-5926,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Analysis and Workers' Management,0351-286X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Analysis of Law Review,2178-0587,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic and Business Bulletin,0148-6195,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economic and Business Review,1580-0466,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economic and Financial Modelling,1350-7419,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic and Financial Review,1351-3621,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Annals,0013-3264,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Change and Restructuring,1573-9414,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Design,0928-5040,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Forum,0195-8550,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Insights,2574-0989,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Insights: Trends and Challenges,2284-8576,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Issues,1363-7029,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economic Notes,0391-5026,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economic Outlook,0140-489X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Papers,0812-0439,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Policy Review,1709-5387,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Quality Control,0940-5151,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Research Guardian,2247-8531,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Review (Keizai Kenkyu),0022-9733,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Review: Journal of Economics and Business,1512-8962,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Studies,0205-3292,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Studies Quarterly,0557-109X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economic Thought,0013-2993,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Economic Thought: History, Philosophy, and Methodology",2055-6314,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Econômica (Fluminense Federal University),1517-1302,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Económica (National University of La Plata),0013-0419,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics and Business Education,0969-2509,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics and Business Letters,2254-4380,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economics and Culture,2256-0173,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics and Management,1312-594X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics and Policy of Energy and the Environment,1125-1263,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics and Sociology,2071-789X,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economics Bulletin,1545-2921,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics of Agriculture,0352-3462,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics of Innovation and New Technology,1043-8599,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Economics of Peace and Security Journal,1749-852X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics of Planning,0013-0451,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economics of Transition and Institutional Change,2577-6975,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics of Transportation,2212-0122,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economics Research International,2090-2123,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Economics, Management, and Financial Markets",1842-3191,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economics: The Journal of the Economics Association,0300-4287,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economie Appliquée,0013-0494,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economie et Institutions,1775-2329,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economie et Prévision,0249-4744,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Économie et Statistique,0336-1454,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economie et Statistique/Economics and Statistics,0336-1454,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economie Internationale,1240-8093,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Économie Publique,1373-8496,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economie Rurale,0013-0559,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economies,2227-7099,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Economies et Sociétés,0013-0567,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economisch en Sociaal Tijdschrift,0013-0575,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economists' Voice,2194-6167,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economy and Forecasting,1605-7988,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Economy and History,0070-8852,1,0,NA,NA,NA,NA,,,
Level IV,20.000,EconoQuantum,1870-6622,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ecos de Economía,1657-4206,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Education Economics,0964-5292,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Ege Akademik Bakis/Ege Academic Review,1303-099X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ege Stratejik Ara&scedil;tirmaler Dergisi/Ege Strategic Research Journal,2149-0465,1,0,NA,NA,NA,NA,,,
Level IV,20.000,EIB Papers,0257-7755,1,0,NA,NA,NA,NA,,,
Level IV,20.000,eJournal of Tax Research,1448-2398,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomia,1025-5508,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomiaz,0213-3865,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomická Revue: Central European Review of Economic Issues,1212-3951,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomicko–Matematicky Obzor,0013-3027,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomik Yakla&scedil;im,1300-1868,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomika,0350-137X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomika (Vilnius University),1392-1258,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomika APK,2221-1055,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomika preduze&cacute;a,0353-443X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomiska Samfundets Tidskrift,0013-3183,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomska i ekohistorija/Economic- and Ecohistory,1845-5867,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomska Misao i Praksa,1330-1039,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomske ideje i praksa,2217-6217,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomski Anali/Economic Annals,0013-3264,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomski Horizonti/Economic Horizons,1450-863X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomski Pregled,0424-7558,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ekonomski Vjesnik,0353-359X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,electronic International Journal of Time Use Research,1860-9937,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Empirical Economics Letters,1681-8997,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Empirical Economics Review,2222-9736,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Energia,0392-7911,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Energy Research and Social Science,2214-6296,1,0,NA,NA,4.704,NA,,,
Level IV,20.000,Energy Studies Review,0843-4379,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Enometrica,1974-4730,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ensaios FEE,0101-1723,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ensayos de Economía,0121-117X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ensayos Economicos,0325-3937,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ensayos sobre Política Económica,0120-4483,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ensayos: Revista de Economía,1870-221X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Entrepreneurial Business and Economics Review,2353-883X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Entreprise et Société/Business and Society,2553-7830,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Environment and Planning C: Government and Policy,0263-774X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Environmental Economics and Policy Studies,1432-847X,1,1,NA,NA,NA,NA,,,
Level IV,20.000,Equidad y Desarrollo,1692-7311,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Equilibrium: Quarterly Journal of Economics and Economic Policy,1689-765X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Erasmus Journal for Philosophy and Economics,1876-9098,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Erciyes Üniversitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi,1301-3688,1,0,NA,NA,NA,NA,,,
Level IV,20.000,EsicMarket,0212-1867,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eskisehir Osmangazi Üniversitesi Iktisadi ve Idari Bilimler Fakültesi Dergisi,1306-6730,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Essays in Economic and Business History,0896-226X,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Estey Centre Journal of International Law and Trade Policy,1496-5208,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estey Journal of International Law and Trade Policy,1496-5208,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios de Economia,0304-2758,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios de Economía Aplicada,1133-3197,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios Económicos (Colegio de México),0188-6916,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios económicos (Universidad Nacional del Sur),0425-368X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios Económicos de Desarrollo Internacional,1578-4479,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios Empresariales,0425-3698,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios Gerenciales,0123-5923,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudios Sociales,0188-4557,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudíos Socíales,2391-9569,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Estudos Economicos,0101-4161,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ethics and Economics/Ethique Economique,1639-1306,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Ethiopian Journal of Economics,1993-3681,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eurasian Academy of Sciences Eurasian Business and Economics Journal,2149-3545,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eurasian Business Review,1309-4297,1,1,NA,NA,NA,NA,,,
Level IV,20.000,"Eurasian Econometrics, Statistics and Empirical Economics Journal",2149-3561,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eurasian Economic Review,1309-422X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eurasian Journal of Business and Economics,1694-5948,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Eurasian Journal of Business and Management,2148-0206,1,0,NA,NA,NA,NA,,,
Level IV,20.000,EuroChoices,1478-0917,1,0,NA,NA,NA,NA,,,
Level IV,20.000,EuroMed Journal of Business,1450-2194,1,1,NA,NA,NA,NA,,,
Level IV,20.000,EuroMed Journal of Management,2055-1711,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Competition Journal,1744-1056,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Finance Review,1382-6662,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Business Research,1945-2977,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Comparative Economics,1824-2979,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Economic and Social Systems,1292-8895,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Economics and Economic Policies: Intervention,2052-7764,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Family Business,2444-877X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Government and Economics,2254-7088,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Housing Policy,1461-6718,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of Management,1555-4015,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Journal of the History of Economic Thought,0967-2567,1,2,NA,NA,NA,NA,,,
Level IV,20.000,European Political Economy Review,1742-5697,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Research on Management and Business Economics,2444-8834,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Research Studies,1108-2976,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Review of Service Economics and Management,2497-0107,1,0,NA,NA,NA,NA,,,
Level IV,20.000,European Transport/Trasporti Europei,1825-3997,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Evolutionary and Institutional Economics Review,1349-4961,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Expert Journal of Economics,2359-7704,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Facta Universitatis, Series: Economics and Organization",0354-4699,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Faith and Economics,0896-307X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Family Economics and Nutrition Review,1085-9985,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Family Economics Review,0425-676X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,FDIC Banking Review,1041-939X,1,0,NA,NA,NA,NA,,,
Level IV,20.000,FDIC Quarterly,1944-8880,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank Business Review of Philadelphia,0007-7011,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Atlanta Economic Review,0732-1813,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Boston New England Economic Review,0028-4726,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Chicago Economic Perspectives,0164-0682,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Cleveland Economic Review,0013-0281,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Dallas Economic and Financial Policy Review,XXXX-XXXX,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Dallas Economic and Financial Review,XXXX-XXXX,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Dallas Economic Review,0732-1414,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Kansas City Economic Review,0161-2387,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Kansas City Monthly Review,0014-9152,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Minneapolis Quarterly Review,0271-5287,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of New York Economic Policy Review,1932-0426,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of New York Quarterly Review,0147-6580,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Philadelphia Business Review,0007-7011,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Richmond Economic Quarterly,1069-7225,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of Richmond Economic Review,0094-6893,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of San Francisco Economic Review,0363-0021,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bank of San Francisco Monthly Review,0014-9195,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Federal Reserve Bulletin,0014-9209,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Filosofía de la Economía,2314-3592,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Finance,0752-6180,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Finance and Development,0015-1947,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Finance and Trade Economics,1002-8102,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Finance and Trade Review,0015-1955,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Finance India,0970-3772,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Financial Counseling and Planning,1052-3073,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Financial Engineering and the Japanese Markets,1380-2011,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Financial History Review,0968-5650,1,2,NA,NA,NA,NA,,,
Level IV,20.000,Financial Industry Studies,1526-4076,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Financial Markets and Portfolio Management,1555-4961,1,0,NA,NA,NA,NA,,,
Level IV,20.000,Financial Markets and Portfolio Management,1934-4554,1,0,NA,NA,NA,NA,,,
Level IV,20.000,"Financial Markets, Institutions and Instruments",0963-8008,1,3,NA,NA,NA,NA,,,
