"Title","ISSN","AEA","SCIMAGO","JCI"
"El Trimestre Economico","0041-3011","X","X","X"
"electronic International Journal of Time Use Research","1860-9937","X",NA,NA
"Emerging Markets Finance and Trade","1540-496X","X",NA,"X"
"Emerging Markets Review","1566-0141","X","X","X"
"Empirica","0340-8744","X","X","X"
"Empirical Economics","0377-7332","X","X","X"
"Empirical Economics Letters","1681-8997","X",NA,NA
"Empirical Economics Review","2222-9736","X",NA,NA
"Energia","0392-7911","X",NA,NA
"Energy Economics","0140-9883","X","X","X"
"Energy Journal","0195-6574","X","X","X"
"Energy Policy","0301-4215","X",NA,"X"
"Energy Research and Social Science","2214-6296","X",NA,NA
"Energy Studies Review","0843-4379","X","X",NA
"Engineering Economist","0013-791X","X","X",NA
"Enometrica","1974-4730","X",NA,NA
"Ensaios FEE","0101-1723","X",NA,NA
"Ensayos de Economía","0121-117X","X",NA,NA
"Ensayos Economicos","0325-3937","X",NA,NA
"Ensayos sobre Política Económica","0120-4483","X","X",NA
"Ensayos: Revista de Economía","1870-221X","X",NA,NA
"Enterprise and Society","1467-2227","X",NA,NA
"Entrepreneurial Business and Economics Review","2353-883X","X",NA,NA
"Entrepreneurship and Regional Development","0898-5626","X","X",NA
"Entrepreneurship Research Journal","2194-6175","X",NA,NA
"Entreprise et Société/Business and Society","2553-7830","X",NA,NA
"Environment and Development Economics","1355-770X","X","X","X"
"Environment and Planning A","0308-518X","X",NA,NA
"Environment and Planning C: Government and Policy","0263-774X","X",NA,NA
"Environment and Planning C: Politics and Space","2399-6544","X",NA,NA
"Environmental and Resource Economics","0924-6460","X","X","X"
"Environmental Economics and Policy Studies","1432-847X","X","X",NA
"Environmental Values","0963-2719","X",NA,NA
"Equidad y Desarrollo","1692-7311","X",NA,NA
"Equilibrium: Quarterly Journal of Economics and Economic Policy","1689-765X","X",NA,NA
"Erasmus Journal for Philosophy and Economics","1876-9098","X",NA,NA
"Erciyes Üniversitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi","1301-3688","X",NA,NA
"EsicMarket","0212-1867","X",NA,NA
"Eskisehir Osmangazi Üniversitesi Iktisadi ve Idari Bilimler Fakültesi Dergisi","1306-6730","X",NA,NA
"Essays in Economic and Business History","0896-226X","X",NA,NA
"Estey Centre Journal of International Law and Trade Policy","1496-5208","X",NA,NA
"Estudios de Economia","0304-2758","X","X",NA
"Estudios de Economía Aplicada","1133-3197","X",NA,NA
"Estudios Económicos (Colegio de México)","0188-6916","X",NA,NA
"Estudios económicos (Universidad Nacional del Sur)","0425-368X","X",NA,NA
"Estudios Económicos de Desarrollo Internacional","1578-4479","X",NA,NA
"Estudios Empresariales","0425-3698","X",NA,NA
"Estudios Gerenciales","0123-5923","X",NA,NA
"Estudios Sociales","0188-4557","X",NA,NA
"Estudos Economicos","0101-4161","X",NA,NA
"Ethics and Economics/Ethique Economique","1639-1306","X",NA,NA
"Ethiopian Journal of Economics","1993-3681","X",NA,NA
"Eurasian Academy of Sciences Eurasian Business and Economics Journal","2149-3545","X",NA,NA
"Eurasian Business Review","1309-4297","X",NA,"X"
"Eurasian Econometrics, Statistics and Empirical Economics Journal","2149-3561","X",NA,NA
"Eurasian Economic Review","1309-422X","X",NA,NA
"Eurasian Geography and Economics","1538-7216","X","X",NA
"Eurasian Journal of Business and Economics","1694-5948","X",NA,NA
"Eurasian Journal of Business and Management","2148-0206","X",NA,NA
"EuroChoices","1478-0917","X",NA,NA
"EuroMed Journal of Business","1450-2194","X",NA,NA
"EuroMed Journal of Management","2055-1711","X",NA,NA
"European Competition Journal","1744-1056","X",NA,NA
"European Economic Review","0014-2921","X","X","X"
"European Finance Review","1382-6662","X",NA,NA
"European Financial Management","1354-7798","X",NA,NA
"European Journal of Business Research","1945-2977","X",NA,NA
"European Journal of Comparative Economics","1824-2979","X","X",NA
"European Journal of Development Research","0957-8811","X",NA,NA
"European Journal of Economic and Social Systems","1292-8895","X",NA,NA
"European Journal of Economics and Economic Policies: Intervention","2052-7764","X","X",NA
"European Journal of Family Business","2444-877X","X",NA,NA
"European Journal of Finance","1351-847X","X",NA,NA
"European Journal of Government and Economics","2254-7088","X","X",NA
"European Journal of Health Economics","1618-7598","X",NA,"X"
"European Journal of Housing Policy","1461-6718","X",NA,NA
"European Journal of Industrial Relations","0959-6801","X",NA,NA
"European Journal of International Relations","1354-0661","X",NA,NA
"European Journal of Law and Economics","0929-1261","X","X","X"
"European Journal of Management","1555-4015","X",NA,NA
"European Journal of Operational Research","0377-2217","X",NA,NA
"European Journal of Political Economy","0176-2680","X","X","X"
"European Journal of Population","0168-6577","X",NA,NA
"European Journal of the History of Economic Thought","0967-2567","X",NA,"X"
"European Political Economy Review","1742-5697","X",NA,NA
"European Research on Management and Business Economics","2444-8834","X","X","X"
"European Research Studies","1108-2976","X",NA,NA
"European Review of Agricultural Economics","0165-1587","X","X","X"
"European Review of Economic History","1361-4916","X",NA,"X"
"European Review of Service Economics and Management","2497-0107","X",NA,NA
"European Transport/Trasporti Europei","1825-3997","X",NA,NA
"Evolutionary and Institutional Economics Review","1349-4961","X",NA,NA
"Experimental Economics","1386-4157","X",NA,"X"
"Expert Journal of Economics","2359-7704","X",NA,NA
"Expert Review of Pharmacoeconomics and Outcomes Research","1473-7167","X",NA,NA
"Explorations in Economic History","0014-4983","X","X","X"
"Facta Universitatis, Series: Economics and Organization","0354-4699","X",NA,NA
"Faith and Economics","0896-307X","X",NA,NA
"Family Economics and Nutrition Review","1085-9985","X",NA,NA
"Family Economics Review","0425-676X","X",NA,NA
"FDIC Banking Review","1041-939X","X",NA,NA
"FDIC Quarterly","1944-8880","X",NA,NA
"FDIC Quarterly Online","1944-8899","X",NA,NA
"Federal Reserve Bank Business Review of Philadelphia","0007-7011","X",NA,NA
"Federal Reserve Bank of Atlanta Economic Review","0732-1813","X",NA,NA
"Federal Reserve Bank of Boston New England Economic Review","0028-4726","X",NA,NA
"Federal Reserve Bank of Chicago Economic Perspectives","0164-0682","X",NA,NA
"Federal Reserve Bank of Cleveland Economic Review","0013-0281","X",NA,NA
"Federal Reserve Bank of Dallas Economic Review","0732-1414","X",NA,NA
"Federal Reserve Bank of Kansas City Economic Review","0161-2387","X",NA,NA
"Federal Reserve Bank of Kansas City Monthly Review","0014-9152","X",NA,NA
"Federal Reserve Bank of Minneapolis Quarterly Review","0271-5287","X",NA,NA
"Federal Reserve Bank of New York Economic Policy Review","1932-0426","X",NA,NA
"Federal Reserve Bank of New York Quarterly Review","0147-6580","X",NA,NA
"Federal Reserve Bank of Richmond Economic Quarterly","1069-7225","X",NA,NA
"Federal Reserve Bank of Richmond Economic Review","0094-6893","X",NA,NA
"Federal Reserve Bank of San Francisco Economic Review","0363-0021","X",NA,NA
"Federal Reserve Bank of San Francisco Monthly Review","0014-9195","X",NA,NA
"Federal Reserve Bank of St. Louis Review","0014-9187","X",NA,"X"
"Federal Reserve Bulletin","0014-9209","X",NA,NA
"Feminist Economics","1354-5701","X","X","X"
"Filosofía de la Economía","2314-3592","X",NA,NA
"Finance","0752-6180","X",NA,NA
"Finance a Úver","0015-1920","X","X",NA
"Finance and Development","0015-1947","X",NA,NA
"Finance and Stochastics","0949-2984","X",NA,NA
"Finance and Trade Economics","1002-8102","X",NA,NA
"Finance and Trade Review","0015-1955","X",NA,NA
"Finance India","0970-3772","X",NA,NA
"Financial Analysts Journal","0015-198X","X","X",NA
"Financial Counseling and Planning","1052-3073","X","X",NA
"Financial Engineering and the Japanese Markets","1380-2011","X",NA,NA
"Financial History Review","0968-5650","X",NA,NA
"Financial Industry Studies","1526-4076","X",NA,NA
"Financial Management","0046-3892","X","X",NA
"Financial Markets and Portfolio Management","1555-4961","X",NA,NA
"Financial Markets and Portfolio Management","1934-4554","X",NA,NA
"Financial Markets, Institutions and Instruments","0963-8008","X",NA,NA
"Financial Practice and Education","1082-0698","X",NA,NA
"Financial Review","0732-8516","X","X",NA
"Financial Services Review","1057-0810","X",NA,NA
"Financial Studies","2066-6071","X",NA,NA
"Financial Theory and Practice","1846-887X","X",NA,NA
"Financijska Teorija i Praksa/Financial Theory and Practice","1332-3970","X",NA,NA
"Finans Politik ve Ekonomik Yorumlar","1307-7112","X",NA,NA
"FinanzArchiv","0015-2218","X",NA,"X"
"Finnish Economic Papers","0784-5197","X",NA,NA
"Fiscal Studies","0143-5671","X","X","X"
"Focus on European Economic Integration","2310-5259","X",NA,NA
"Folia Oeconomica Stetinensia","1730-4237","X",NA,NA
"Food Policy","0306-9192","X","X","X"
"Food Research Institute Studies","0193-9025","X",NA,NA
"Foreign Affairs","0015-7120","X",NA,NA
"Foreign Trade Review","0015-7325","X",NA,NA
"Foresight","1463-6689","X",NA,NA
"Forman Journal of Economic Studies","1990-391X","X",NA,NA
"Formation Emploi: Revue Française de Sciences Sociales","0759-6340","X",NA,NA
"Forum for Development Studies","0803-9410","X",NA,NA
"Forum for Health Economics and Policy","2194-6191","X",NA,NA
"Frontiers in Finance and Economics","1814-2044","X",NA,NA
"Frontiers of Business Research in China","1673-7326","X",NA,NA
"Frontiers of Economics in China","1673-3444","X","X",NA
"Frontiers of Macroeconomics","1534-6021","X",NA,NA
"Frontiers of Theoretical Economics","1534-5955","X",NA,NA
"Fuzzy Economic Review","1136-0593","X","X",NA
"Gadjah Mada International Journal of Business","1411-1128","X","X",NA
"Games","2073-4336","X",NA,NA
"Games and Economic Behavior","0899-8256","X","X","X"
"Geneva Papers on Risk and Insurance Theory","0926-4957","X",NA,NA
"Geneva Papers on Risk and Insurance: Issues and Practice","1018-5895","X","X",NA
"Geneva Risk and Insurance Review","1554-964X","X","X","X"
"German Economic Review","1465-6485","X","X","X"
"German Journal of Agricultural Economics","0002-1121","X","X",NA
"Gestão and Regionalidade","1808-5792","X",NA,NA
"Ghana Policy Journal","0855-3238","X",NA,NA
"Giornale degli Economisti e Annali di Economia","0017-0097","X",NA,NA
"Global and Local Economic Review","1722-4241","X",NA,NA
"Global Business and Economics Review","1097-4954","X","X",NA
"Global Economic Review","1226-508X","X",NA,"X"
"Global Economy Journal","2194-5659","X",NA,NA
"Global Economy Quarterly","1524-5861","X",NA,NA
"Global Environmental Politics","1526-3800","X",NA,NA
"Global Finance Journal","1044-0283","X","X",NA
"Global Journal of Business Research","1931-0277","X",NA,NA
"Global Journal of Emerging Market Economies","0974-9101","X",NA,NA
"Global Journal of Finance and Economics","0972-9496","X",NA,NA
"Global Social Policy","1468-0181","X",NA,NA
"Globalizacion, Competitividad y Gobernabilidad/Globalization, Competitiveness and Governability","1988-7116","X",NA,NA
"Gospodarstvo Istre","0353-2860","X",NA,NA
"Greek Economic Review","1010-9994","X",NA,NA
"Growth and Change","0017-4815","X",NA,NA
"Hacettepe Üniversitesi Iktisadi ve Idari Bilimler Fakültesi Dergisi/Hacettepe University Journal of Economics and Administrative Sciences","1301-8752","X",NA,NA
"Hacienda Pública Española/Review of Public Economics","0210-1173","X","X","X"
"Health Care Management Science","1386-9620","X",NA,NA
"Health Economics","1057-9230","X",NA,"X"
"Health Economics, Policy and Law","1744-1331","X",NA,NA
"Health Policy and Planning","0268-1080","X",NA,NA
"Health Services Research","0017-9124","X",NA,NA
"HEPAC: Health Economics in Prevention and Care","1439-3972","X",NA,NA
"História e Economia--Revista Interdisciplinar","1808-5318","X",NA,NA
"História Econômica e História de Empresas","1519-3314","X",NA,NA
"History of Economic Ideas","1122-8792","X","X",NA
"History of Economic Thought","1880-3164","X",NA,NA
"History of Economic Thought and Policy","2240-9971","X","X",NA
"History of Economics Review","1037-0196","X",NA,NA
"History of Political Economy","0018-2702","X","X","X"
"Hitotsubashi Journal of Commerce and Management","0018-2796","X",NA,NA
"Hitotsubashi Journal of Economics","0018-280X","X","X","X"
"Homo Oeconomicus","0943-0180","X",NA,NA
"Hong Kong Economic Papers","1025-8884","X",NA,NA
"Housing Finance Review","0276-4415","X",NA,NA
"Housing Policy Debate","1051-1482","X",NA,NA
"Housing Studies","0267-3037","X",NA,NA
"Human Resource Development Quarterly","1044-8004","X",NA,NA
"Humanomics","0828-8666","X",NA,NA
"IB Información Básica en Estadística","2256-1552","X",NA,NA
"IB Revija","1318-2803","X",NA,NA
"Iberian Journal of the History of Economic Thought","2386-5768","X",NA,NA
"Iberoamerican Journal of Development Studies","2254-2035","X",NA,NA
"Iberoamerican Journal of Strategic Management","2176-0756","X",NA,NA
"Ifo Studien","0018-9731","X",NA,NA
"IIUM Journal of Economics and Management","1394-7680","X",NA,NA
"Iktisat Ísletme ve Fínans","1300-610X","X",NA,NA
"Il Pensiero Economico Italiano","1122-8784","X",NA,NA
"Illinois Agricultural Economics","0019-1833","X",NA,NA
"Illinois Agricultural Economics Online","2325-596X","X",NA,NA
"ILR Review","0019-7939","X",NA,NA
"IMF Economic Review","2041-4161","X",NA,"X"
"IMF Staff Papers","1020-7635","X",NA,NA
"Imprese e Storia","1590-6264","X",NA,NA
"Independent Review","1086-1653","X",NA,"X"
"India Macroeconomics Annual","0973-290X","X",NA,NA
"Indian Development Review","0972-9437","X",NA,NA
"Indian Economic and Social History Review","0019-4646","X","X",NA
"Indian Economic Journal","0019-4662","X",NA,NA
"Indian Economic Review","0019-4670","X",NA,NA
"Indian Growth and Development Review","1753-8254","X","X",NA
"Indian Journal of Agricultural Economics","0019-5014","X",NA,NA
"Indian Journal of Applied Economics","0971-8281","X",NA,NA
"Indian Journal of Economics and Business","0972-5784","X",NA,NA
"Indian Journal of Economics and Development","2277-5412","X",NA,NA
"Indian Journal of Finance","0973-8711","X",NA,NA
"Indian Journal of Gender Studies","0971-5215","X",NA,NA
"Indian Journal of Labour Economics","0971-7927","X",NA,NA
"Indian Journal of Quantitative Economics","0970-1532","X",NA,NA
"Indian Journal of Social Development","0972-3692","X",NA,NA
"Indiana Business Review","0019-6541","X",NA,NA
"Industrial and Corporate Change","0960-6491","X","X","X"
"Industrial Organization Review","0194-2875","X",NA,NA
"Industrial Relations","0019-8676","X",NA,NA
"Industrielle Beziehungen","0943-2779","X",NA,NA
"Industry and Development","0197-7253","X",NA,NA
"Industry and Innovation","1366-2716","X",NA,"X"
"Info","1463-6697","X",NA,NA
"Informacion Comercial Española Revista de Economia","0019-977X","X",NA,NA
"Information Economics and Policy","0167-6245","X","X","X"
"Information Systems and e-Business Management","1617-9846","X",NA,NA
"INFORMS Journal on Applied Analytics","0092-2102","X",NA,NA
"Innovation and Development","2157-930X","X",NA,NA
"Innovations","1267-4982","X","X",NA
"Inquiry","0046-9580","X",NA,NA
"Insurance: Mathematics and Economics","0167-6687","X","X","X"
"Integration","0720-5120","X",NA,NA
"Integration and Trade","1027-5703","X",NA,NA
"Intellectual Economics","1822-8011","X",NA,NA
"Interdisciplinary Description of Complex Systems","1334-4684","X",NA,NA
"Interdisciplinary Journal of Economics and Business Law","2047-8747","X",NA,NA
"Intereconomics/Review of European Economic Policy","0020-5346","X",NA,NA
"International Advances in Economic Research","1083-0898","X","X",NA
"International Business and Global Economy","2300-6102","X",NA,NA
"International Contributions to Labour Studies","1052-9187","X",NA,NA
"International Econometric Review","1308-8793","X",NA,NA
"International Economic Journal","1016-8737","X",NA,NA
"International Economic Review","0020-6598","X","X","X"
"International Economics","2110-7017","X",NA,NA
"International Economics and Economic Policy","1612-4804","X","X",NA
"International Economics and Finance Journal","0973-5259","X",NA,NA
"International Economics Studies","2008-9643","X",NA,NA
"International Economy","0898-4336","X",NA,NA
"International Entrepreneurship and Management Journal","1554-7191","X",NA,NA
"International Finance","1367-0271","X",NA,"X"
"International Food and Agribusiness Management Review","1559-2448","X",NA,NA
"International Game Theory Review","0219-1989","X",NA,NA
"International Journal of Accounting and Finance","1752-8224","X",NA,NA
"International Journal of Agricultural Resources, Governance and Ecology","1462-4605","X",NA,NA
"International Journal of Applied Business and Economic Research","0972-7302","X","X",NA
"International Journal of Applied Econometrics and Quantitative Studies","1698-4153","X",NA,NA
"International Journal of Applied Economics","1548-0003","X",NA,NA
"International Journal of Asian Studies","1479-5914","X",NA,NA
"International Journal of Banking and Finance","1675-7227","X",NA,NA
"International Journal of Banking, Accounting and Finance","1755-3830","X","X",NA
"International Journal of Behavioural Accounting and Finance","1753-1969","X",NA,NA
"International Journal of Bonds and Derivatives","2050-2281","X",NA,NA
"International Journal of Business","1083-4346","X","X",NA
"International Journal of Business and Economic Sciences Applied Research","2408-0098","X",NA,NA
"International Journal of Business and Economics","1607-0704","X",NA,NA
"International Journal of Business and Emerging Markets","1753-6219","X","X",NA
"International Journal of Business and Finance Research","1931-0269","X",NA,NA
"International Journal of Business Economics and Management Research","2229-4848","X",NA,NA
"International Journal of Business Governance and Ethics","1477-9048","X",NA,NA
"International Journal of Business Research","1555-1296","X",NA,NA
"International Journal of Central Banking","1815-4654","X","X",NA
"International Journal of China Studies","2180-3250","X",NA,NA
"International Journal of Commerce and Business Management","0974-2646","X",NA,NA
"International Journal of Computational Economics and Econometrics","1757-1170","X","X",NA
"International Journal of Corporate Governance","1754-3037","X",NA,NA
"International Journal of Critical Accounting","1757-9848","X",NA,NA
"International Journal of Development and Conflict","2010-2704","X",NA,NA
"International Journal of Development Issues","1446-8956","X","X",NA
"International Journal of Diplomacy and Economy","2049-0887","X",NA,NA
"International Journal of Ecological Economics and Statistics","0973-1385","X","X",NA
"International Journal of Economic Issues","0974-603X","X",NA,NA
"International Journal of Economic Policy in Emerging Economies","1752-0452","X","X",NA
"International Journal of Economic Research","0972-9380","X",NA,NA
"International Journal of Economic Sciences","1804-9796","X",NA,NA
"International Journal of Economic Sciences and Applied Research","1791-5120","X",NA,NA
"International Journal of Economic Theory","1742-7355","X","X","X"
"International Journal of Economics","0973-6719","X",NA,NA
"International Journal of Economics and Accounting","2041-868X","X",NA,NA
"International Journal of Economics and Business Modeling","0976-531X","X",NA,NA
"International Journal of Economics and Business Research","1756-9850","X",NA,NA
"International Journal of Economics and Finance Studies","1309-8055","X",NA,NA
"International Journal of Economics and Financial Issues","2146-4138","X",NA,NA
"International Journal of Economics and Research","2229-6158","X",NA,NA
"International Journal of Education Economics and Development","1759-5673","X",NA,NA
"International Journal of Electronic Finance","1746-0069","X",NA,NA
"International Journal of Energy Economics and Policy","2146-4553","X",NA,NA
"International Journal of Engineering Management and Economics","1756-5154","X",NA,NA
"International Journal of Enterprise Information Systems","1548-1115","X",NA,NA
"International Journal of Environment and Development","0973-3574","X",NA,NA
"International Journal of Environment and Sustainable Development","1474-6778","X",NA,NA
"International Journal of Ethics and Systems","2514-9369","X","X",NA
"International Journal of Finance and Economics","1076-9307","X","X",NA
"International Journal of Financial Engineering and Risk Management","2049-0909","X",NA,NA
"International Journal of Financial Markets and Derivatives","1756-7130","X",NA,NA
"International Journal of Financial Services Management","1460-6712","X",NA,NA
"International Journal of Financial Studies","2227-7072","X",NA,NA
"International Journal of Food and Agricultural Economics","2147-8988","X",NA,NA
"International Journal of Forecasting","0169-2070","X",NA,"X"
"International Journal of Game Theory","0020-7276","X","X","X"
"International Journal of Green Economics","1744-9928","X",NA,NA
"International Journal of Happiness and Development","2049-2790","X",NA,NA
"International Journal of Health Care Finance and Economics","1389-6563","X",NA,NA
"International Journal of Health Economics and Management","2199-9023","X",NA,"X"
"International Journal of Housing Markets and Analysis","1753-8270","X",NA,NA
"International Journal of Housing Policy","1949-1247","X",NA,NA
"International Journal of Industrial Organization","0167-7187","X","X","X"
"International Journal of Innovation and Regional Development","1753-0660","X",NA,NA
"International Journal of Innovation and Sustainable Development","1740-8822","X",NA,NA
"International Journal of Intellectual Property Management","1478-9647","X",NA,NA
"International Journal of Islamic and Middle Eastern Finance and Management","1753-8394","X",NA,NA
"International Journal of Islamic Business","0127-662X","X",NA,NA
"International Journal of Islamic Economics and Finance Studies","2149-8393","X",NA,NA
"International Journal of Management and Economics","2299-9701","X",NA,NA
"International Journal of Management and Network Economics","1754-2316","X",NA,NA
"International Journal of Managerial and Financial Accounting","1753-6715","X",NA,NA
"International Journal of Managerial Finance","1743-9132","X",NA,NA
"International Journal of Manpower","0143-7720","X",NA,NA
"International Journal of Maritime Economics","1388-1973","X",NA,NA
"International Journal of Microsimulation","1747-5864","X",NA,NA
"International Journal of Monetary Economics and Finance","1752-0479","X","X",NA
"International Journal of Pluralism and Economics Education","1757-5648","X",NA,NA
"International Journal of Political Economy","0891-1916","X","X",NA
"International Journal of Portfolio Analysis and Management","2048-2361","X",NA,NA
"International Journal of Production Economics","0925-5273","X","X",NA
"International Journal of Public Policy","1740-0600","X",NA,NA
"International Journal of Research in Finance and Marketing","2231-5985","X",NA,NA
"International Journal of Revenue Management","1474-7332","X","X",NA
"International Journal of Social Economics","0306-8293","X","X",NA
"International Journal of Sport Finance","1558-6235","X",NA,NA
"International Journal of Statistics and Economics","0975-556X","X",NA,NA
"International Journal of Strategic Decision Sciences","1947-8569","X",NA,NA
"International Journal of Strategic Management","1555-2411","X",NA,NA
"International Journal of Sustainable Development","0960-1406","X",NA,NA
"International Journal of Sustainable Economy","1756-5804","X","X",NA
"International Journal of Technological Learning, Innovation and Development","1753-1942","X",NA,NA
"International Journal of Technology and Globalisation","1476-5667","X","X",NA
"International Journal of the Economics of Business","1357-1516","X","X",NA
"International Journal of Theoretical and Applied Finance","0219-0249","X",NA,NA
"International Journal of Trade and Global Markets","1742-7541","X",NA,NA
"International Journal of Transport Economics","0391-8440","X",NA,"X"
"International Journal of Urban and Regional Research","0309-1317","X",NA,NA
"International Journal Vallis Aurea","2412-5210","X",NA,NA
"International Labour Review","0020-7780","X",NA,"X"
"International Law: Revista Colombiana de Derecho Internacional","1692-8156","X",NA,NA
"International Monetary Fund Staff Papers","0020-7635","X",NA,NA
"International Organization","0020-8183","X",NA,NA
"International Policy Review","1088-7326","X",NA,NA
"International Productivity Monitor","1492-9759","X",NA,NA
"International Regional Science Review","0160-0176","X",NA,NA
"International Research Journal of Applied Finance","2229-6891","X",NA,NA
"International Research Journal of Finance and Economics","1450-2887","X",NA,NA
"International Review of Accounting, Banking and Finance","1946-6404","X",NA,NA
"International Review of Applied Economics","0269-2171","X","X",NA
"International Review of Economics","1865-1704","X",NA,NA
"International Review of Economics and Finance","1059-0560","X","X","X"
"International Review of Economics Education","1477-3880","X",NA,"X"
"International Review of Environmental and Resource Economics","1932-1465","X","X",NA
"International Review of Finance","1369-412X","X","X",NA
"International Review of Financial Analysis","1057-5219","X","X",NA
"International Review of Law and Economics","0144-8188","X","X","X"
"International Social Science Journal","0020-8701","X",NA,NA
"International Tax and Public Finance","0927-5940","X","X","X"
"International Trade Journal","0885-3908","X",NA,NA
"Internext: Revista Electrônica de Negócios Internacionais/Internext:Review of International Business","1980-4865","X",NA,NA
"Intervention: European Journal of Economics and Economic Policies","1613-0960","X",NA,NA
"Investigación Económica","0185-1667","X",NA,"X"
"Investigaciones de Historia Económica","1698-6989","X","X",NA
"Investigaciones Economicas","0210-1521","X",NA,NA
"Investigaciones Europeas de Dirección y Economía de la Empresa","1135-2523","X",NA,NA
"Investigaciones Regionales","1695-7253","X",NA,NA
"IPPR Progressive Review","2573-2323","X",NA,NA
"Iranian Economic Review","1026-6542","X",NA,NA
"Iranian Journal of Trade Studies","1735-0794","X",NA,NA
"Irish Banking Review","0021-1060","X",NA,NA
"Irish Economic and Social History","0332-4893","X",NA,NA
"Irish Journal of Agricultural Economics and Rural Sociology","0021-1249","X",NA,NA
"ISE Review","1301-1642","X",NA,NA
"Islamic Banking and Finance Review","2221-5239","X",NA,NA
"Islamic Economic Studies","1319-1616","X",NA,NA
"Isletme ve Ekonomi Arastirmalari Dergisi/Business and Economics Research Journal","1309-2448","X",NA,NA
"ISRA International Journal of Islamic Finance","0128-1976","X","X",NA
"Israel Economic Review","0792-0385","X",NA,NA
"Italian Economic Journal","2199-322X","X",NA,NA
"IZA Journal of Development and Migration","2520-1786","X",NA,NA
"IZA Journal of European Labor Studies","2193-9012","X","X",NA
"IZA Journal of Labor and Development","2193-9020","X",NA,NA
"IZA Journal of Labor Economics","2193-8997","X","X",NA
"IZA Journal of Labor Policy","2193-9004","X","X",NA
"IZA Journal of Migration","2193-9039","X",NA,NA
"IZA World of Labor","2054-9571","X",NA,NA
"Jahrbuch der Wirtschaft Osteuropas","0449-5225","X",NA,NA
"Jahrbuch für Regionalwissenschaft/Review of Regional Research","0173-7600","X",NA,NA
"Jahrbuch für Wirtschaftsgeschichte/Economic History Yearbook","0075-2800","X","X",NA
"Jahrbuch für Wirtschaftswissenschaften/Review of Economics","0948-5139","X",NA,NA
"Jahrbücher für Nationalökonomie und Statistik","0021-4027","X","X","X"
"Japan and the World Economy","0922-1425","X","X","X"
"Japan Labor Review","1348-9364","X",NA,NA
"Japan Research Quarterly","0021-3551","X",NA,NA
"Japanese Accounting Review","2185-4785","X",NA,NA
"Japanese Economic Review","1352-4739","X","X","X"
"Japanese Economic Studies","0021-4841","X",NA,NA
"Japanese Economy","1097-203X","X",NA,NA
"Japanese Political Economy","2329-194X","X",NA,NA
"Jingji Yanjiu/Economic Research Journal","0577-9154","X",NA,NA
"Journal des Économistes et des Études Humaines","2153-1552","X",NA,NA
"Journal for East European Management Studies","0949-6181","X",NA,NA
"Journal for Labour Market Research","2510-5019","X",NA,NA
"Journal for Studies in Economics and Econometrics","0379-6205","X","X",NA
"Journal für Betriebswirtschaft","0344-9327","X",NA,NA
"Journal of Academy of Business and Economics","1542-8710","X",NA,NA
"Journal of Accounting and Economics","0165-4101","X","X","X"
"Journal of Accounting Research","0021-8456","X","X",NA
"Journal of Accounting, Auditing and Finance","0148-558X","X",NA,NA
"Journal of Accounting, Finance and Management Strategy","1556-5793","X",NA,NA
"Journal of Advanced Studies in Finance","2068-8393","X",NA,NA
"Journal of African Business","1522-8916","X",NA,NA
"Journal of African Development","1060-6076","X",NA,NA
"Journal of African Economies","0963-8024","X","X","X"
"Journal of Agribusiness in Developing and Emerging Economies","2044-0839","X","X",NA
"Journal of Agricultural and Applied Economics","1074-0708","X","X",NA
"Journal of Agricultural and Food Industrial Organization","2194-5896","X",NA,NA
"Journal of Agricultural and Resource Economics","1068-5502","X","X","X"
"Journal of Agricultural Economics","0021-857X","X","X","X"
"Journal of Applied Business Research","0892-7626","X",NA,NA
"Journal of Applied Econometrics","0883-7252","X","X","X"
"Journal of Applied Economics","1514-0326","X",NA,"X"
"Journal of Applied Economics and Business Research","1927-033X","X",NA,NA
"Journal of Applied Finance","1534-6668","X",NA,NA
"Journal of Applied Finance and Banking","1792-6580","X",NA,NA
"Journal of Asian Development Studies","2304-375X","X",NA,NA
"Journal of Asian Economics","1049-0078","X","X","X"
"Journal of Asset Management","1470-8272","X",NA,NA
"Journal of Australian Political Economy","0156-5826","X","X","X"
"Journal of Bank Research","0021-9215","X",NA,NA
"Journal of Banking and Finance","0378-4266","X","X","X"
"Journal of Banking Regulation","1745-6452","X","X",NA
"Journal of Behavioral and Experimental Economics","2214-8043","X","X","X"
"Journal of Behavioral Economics","0090-5720","X",NA,NA
"Journal of Behavioral Finance","1542-7560","X",NA,"X"
"Journal of Behavioral Public Administration","2576-6465","X",NA,NA
"Journal of Benefit-Cost Analysis","2194-5888","X","X",NA
"Journal of Bioeconomics","1387-6996","X","X",NA
"Journal of Business","0021-9398","X",NA,NA
"Journal of Business Administration","1025-9627","X",NA,NA
"Journal of Business and Economic Statistics","0735-0015","X","X","X"
"Journal of Business and Economic Studies","1063-343X","X",NA,NA
"Journal of Business and Economics (Air University)","2075-6909","X",NA,NA
"Journal of Business and Management Sciences","2333-4495","X",NA,NA
"Journal of Business Cycle Measurement and Analysis","1729-3618","X",NA,NA
"Journal of Business Cycle Research","2509-7962","X","X",NA
"Journal of Business Economics","0044-2372","X","X",NA
"Journal of Business Ethics","0167-4544","X","X",NA
"Journal of Business Finance and Accounting","0306-686X","X",NA,NA
