"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,ISSN,Journal Impact Factor,5-Year Impact Factor,Article Influence Score
2699,Nanoscience and Nanotechnology Letters,1941-4900,2.917,1.512,0.165
2703,APPLIED SOIL ECOLOGY,0929-1393,2.916,3.191,0.766
2704,CLINICS IN PERINATOLOGY,0095-5108,2.915,3.430,1.065
2704,NEUROPEPTIDES,0143-4179,2.915,2.925,0.682
2706,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,0145-479X,2.914,2.591,0.683
2707,Comparative Biochemistry and Physiology D-Genomics & Proteomics,1744-117X,2.913,2.545,0.625
2707,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,0145-305X,2.913,3.123,0.645
2707,GM Crops & Food-Biotechnology in Agriculture and the Food Chain,2164-5698,2.913,Not Available,Not Available
2710,IEEE Cloud Computing,2325-6095,2.912,Not Available,Not Available
2711,Accounting Auditing & Accountability Journal,0951-3574,2.911,4.286,0.630
2711,CATALYSIS LETTERS,1011-372X,2.911,2.571,0.545
2713,GENOMICS,0888-7543,2.910,3.270,1.226
2714,CHROMOSOME RESEARCH,0967-3849,2.909,2.649,0.929
2714,JOURNAL OF APPLIED TOXICOLOGY,0260-437X,2.909,3.119,0.643
2714,PHYSICAL REVIEW A,2469-9926,2.909,2.678,0.899
2717,AMINO ACIDS,0939-4451,2.906,2.946,0.727
2717,ICES JOURNAL OF MARINE SCIENCE,1054-3139,2.906,2.969,0.871
2717,SURFACE & COATINGS TECHNOLOGY,0257-8972,2.906,2.923,0.517
2720,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,2.905,3.183,1.845
2721,VETERINARY RESEARCH,0928-4249,2.903,3.332,0.909
2722,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,1474-905X,2.902,2.581,0.594
2723,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,2.901,2.984,0.824
2723,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,2.901,2.984,0.824
2723,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1044-5463,2.901,2.819,0.886
2726,AGE,0161-9152,2.900,3.467,0.979
2726,Body & Society,1357-034X,2.900,2.778,1.106
2726,SOCIOLOGY OF EDUCATION,0038-0407,2.900,3.832,1.961
2726,Zoological Letters,2056-306X,2.900,Not Available,Not Available
2730,BIOSCIENCE REPORTS,0144-8463,2.899,2.903,0.892
2730,CHILD ABUSE & NEGLECT,0145-2134,2.899,3.583,1.016
2730,JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY,0022-4278,2.899,3.716,1.592
2733,RISK ANALYSIS,0272-4332,2.898,3.439,1.085
2733,RISK ANALYSIS,0272-4332,2.898,3.439,1.085
2735,Biomedical Materials,1748-6041,2.897,3.242,0.643
2736,CIRCULATION JOURNAL,1346-9843,2.895,3.038,0.893
2736,Photodiagnosis and Photodynamic Therapy,1572-1000,2.895,2.796,0.421
2738,CONTRACEPTION,0010-7824,2.894,2.729,1.151
2738,JOURNAL OF CLINICAL PATHOLOGY,0021-9746,2.894,2.720,0.739
2738,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,1369-7412,2.894,4.857,5.222
2741,IEEE Geoscience and Remote Sensing Letters,1545-598X,2.893,2.866,0.786
2741,JOURNAL OF FLUID MECHANICS,0022-1120,2.893,3.157,1.061
2743,JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,0963-1798,2.892,3.972,1.331
2743,MATERIALS CHARACTERIZATION,1044-5803,2.892,3.036,0.692
2745,BIOLOGICAL PSYCHOLOGY,0301-0511,2.891,3.739,1.235
2745,BIOLOGICAL PSYCHOLOGY,0301-0511,2.891,3.739,1.235
2745,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,1010-6030,2.891,2.680,0.456
2745,Journal of Business Logistics,0735-3766,2.891,4.190,0.827
2749,ANIMAL CONSERVATION,1367-9430,2.889,3.348,1.082
2749,Electrocatalysis,1868-2529,2.889,2.723,0.561
2749,IEEE Transactions on Autonomous Mental Development,1943-0604,2.889,2.151,0.807
2749,NEUROPSYCHOLOGIA,0028-3932,2.889,3.326,1.122
2749,NEUROPSYCHOLOGIA,0028-3932,2.889,3.326,1.122
2754,Cancer Epidemiology,1877-7821,2.888,2.828,0.894
2755,COMPUTERS & STRUCTURES,0045-7949,2.887,3.362,1.076
2755,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,1542-7390,2.887,2.857,0.862
2757,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,1420-8008,2.886,3.230,0.962
2757,EUROPEAN JOURNAL OF CANCER PREVENTION,0959-8278,2.886,2.647,0.772
2757,JOURNAL OF ENDODONTICS,0099-2399,2.886,3.589,0.596
2757,JOURNAL OF SURGICAL ONCOLOGY,0022-4790,2.886,2.987,0.816
2761,CELL TRANSPLANTATION,0963-6897,2.885,3.156,0.745
2761,Environmental Microbiology Reports,1758-2229,2.885,3.481,1.082
2761,Journal of Diabetes Research,2314-6745,2.885,2.949,0.734
2761,SEMINARS IN PERINATOLOGY,0146-0005,2.885,3.374,1.175
2765,AMERICAN JOURNAL OF NEPHROLOGY,0250-8095,2.884,3.162,1.057
2765,INFLAMMATION,0360-3997,2.884,2.709,0.601
2765,MEDICAL PHYSICS,0094-2405,2.884,3.029,0.818
2768,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,1434-193X,2.882,2.675,0.600
2768,Electronic Materials Letters,1738-8090,2.882,1.746,0.292
2768,JOURNAL OF BIOMEDICAL INFORMATICS,1532-0464,2.882,3.120,0.790
2771,BIOORGANIC & MEDICINAL CHEMISTRY,0968-0896,2.881,2.911,0.603
2771,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,0997-7538,2.881,2.938,0.858
2771,JOURNAL OF CLINICAL PHARMACOLOGY,0091-2700,2.881,2.551,0.724
2771,THIN-WALLED STRUCTURES,0263-8231,2.881,3.037,0.716
2771,Wiley Interdisciplinary Reviews-Cognitive Science,1939-5078,2.881,2.947,1.117
2776,JOURNAL OF ADVERTISING,0091-3367,2.880,3.846,0.779
2776,JOURNAL OF BEHAVIORAL MEDICINE,0160-7715,2.880,3.179,1.065
2776,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,1386-1425,2.880,2.571,0.382
2779,ARTIFICIAL INTELLIGENCE IN MEDICINE,0933-3657,2.879,2.860,0.789
2779,ECONOMIC POLICY,0266-4658,2.879,4.037,2.658
2779,IEEE SOFTWARE,0740-7459,2.879,2.506,0.656
2779,JOURNAL OF RAMAN SPECTROSCOPY,0377-0486,2.879,2.353,0.522
2783,JOURNAL OF PERIODONTAL RESEARCH,0022-3484,2.878,2.709,0.633
2783,PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,2.878,3.297,0.754
2783,PSYCHOLOGY OF SPORT AND EXERCISE,1469-0292,2.878,3.297,0.754
2786,Journal of Hepato-Biliary-Pancreatic Sciences,1868-6974,2.877,3.331,0.991
2787,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,1615-147X,2.876,3.269,0.954
2788,INTERNATIONAL GEOLOGY REVIEW,0020-6814,2.875,2.719,0.803
2789,International Journal of Contemporary Hospitality Management,0959-6119,2.874,3.464,0.396
2789,Progress in Electromagnetics Research-PIER,1559-8985,2.874,1.597,0.473
2791,IMMUNOBIOLOGY,0171-2985,2.873,3.023,0.849
2791,JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,1045-3873,2.873,3.053,1.144
2791,MATERIALS RESEARCH BULLETIN,0025-5408,2.873,2.527,0.407
2794,Clinical and Vaccine Immunology,1556-6811,2.872,2.477,0.820
2794,JOURNAL OF CRITICAL CARE,0883-9441,2.872,2.855,0.904
2794,Regional Environmental Change,1436-3798,2.872,3.273,0.881
2794,Regional Environmental Change,1436-3798,2.872,3.273,0.881
2798,Behavioral Sleep Medicine,1540-2002,2.871,3.175,1.033
2798,Frontiers in Human Neuroscience,1662-5161,2.871,4.022,1.286
2800,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,0022-1031,2.870,3.805,1.807
2800,PUBLIC ADMINISTRATION,0033-3298,2.870,2.954,0.959
2802,Current Opinion in Organ Transplantation,1087-2418,2.869,2.667,0.939
2802,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,1044-0305,2.869,2.613,0.791
2804,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0167-8760,2.868,3.311,1.023
2804,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,0167-8760,2.868,3.311,1.023
2804,Journal of Nutrition Health & Aging,1279-7707,2.868,3.199,0.801
2807,EXPERT OPINION ON THERAPEUTIC PATENTS,1354-3776,2.867,3.371,0.778
2807,LAW AND HUMAN BEHAVIOR,0147-7307,2.867,3.245,1.226
2809,Academy of Management Learning & Education,1537-260X,2.866,4.235,0.879
2809,BMC Geriatrics,1471-2318,2.866,3.159,0.933
2809,BMC Geriatrics,1471-2318,2.866,3.159,0.933
2809,JOURNAL OF ASIAN EARTH SCIENCES,1367-9120,2.866,3.515,0.990
2813,Fractional Calculus and Applied Analysis,1311-0454,2.865,3.323,1.060
2813,JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION,0957-4271,2.865,2.366,0.598
2815,JOURNAL OF COMPUTATIONAL PHYSICS,0021-9991,2.864,3.186,1.325
2816,MINERVA MEDICA,0026-4806,2.863,1.515,0.286
2817,Radiation Oncology,1748-717X,2.862,3.055,0.796
2818,SUPERCONDUCTOR SCIENCE & TECHNOLOGY,0953-2048,2.861,2.674,0.821
2819,JOURNAL OF GEOCHEMICAL EXPLORATION,0375-6742,2.858,3.437,0.684
2820,Frontiers in Psychiatry,1664-0640,2.857,Not Available,Not Available
2820,Frontiers in Psychiatry,1664-0640,2.857,Not Available,Not Available
2820,IEEE TRANSACTIONS ON NANOTECHNOLOGY,1536-125X,2.857,2.412,0.601
2820,SMALL BUSINESS ECONOMICS,0921-898X,2.857,4.064,0.868
2824,APIDOLOGIE,0044-8435,2.856,2.486,0.631
2824,ELECTRIC POWER SYSTEMS RESEARCH,0378-7796,2.856,2.859,0.682
2826,DRUG AND ALCOHOL REVIEW,0959-5236,2.855,3.079,0.988
2827,Mycotoxin Research,0178-7888,2.854,Not Available,Not Available
2827,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,0584-8547,2.854,3.015,0.637
2829,Molecular Oral Microbiology,2041-1006,2.853,3.635,0.879
2830,GIScience & Remote Sensing,1548-1603,2.852,2.195,0.491
2830,JOURNAL OF FOOD AND DRUG ANALYSIS,1021-9498,2.852,2.508,0.447
2830,Reproductive Biology and Endocrinology,1477-7827,2.852,3.070,0.854
2833,BRAIN AND LANGUAGE,0093-934X,2.851,3.405,1.143
2833,BRAIN AND LANGUAGE,0093-934X,2.851,3.405,1.143
2833,ELECTROANALYSIS,1040-0397,2.851,2.469,0.403
2833,Journal of Clinical Neurology,1738-6586,2.851,2.803,0.864
2833,PEPTIDES,0196-9781,2.851,2.761,0.667
2838,COMPUTERS IN INDUSTRY,0166-3615,2.850,2.712,0.476
2838,JOURNAL OF RESEARCH IN PERSONALITY,0092-6566,2.850,3.210,1.332
2840,Gut and Liver,1976-2283,2.849,2.458,0.661
2840,JOURNAL OF SHOULDER AND ELBOW SURGERY,1058-2746,2.849,3.195,0.852
2842,ANNALS OF HEMATOLOGY,0939-5555,2.845,2.789,0.833
2842,MALARIA JOURNAL,1475-2875,2.845,3.017,0.851
2844,EUROPEAN JOURNAL OF RADIOLOGY,0720-048X,2.843,2.824,0.793
2844,JOURNAL OF CHEMICAL PHYSICS,0021-9606,2.843,2.743,0.849
2846,NEUROPSYCHOLOGICAL REHABILITATION,0960-2011,2.842,2.607,0.756
2847,MUTAGENESIS,0267-8357,2.840,2.638,0.602
2848,Journal of the Association for Information Systems,1536-9323,2.839,3.717,1.100
2848,Journal of the Association for Information Systems,1536-9323,2.839,3.717,1.100
2848,SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,1059-1311,2.839,2.609,0.708
2851,Comunicar,1134-3478,2.838,3.285,0.282
2851,Elementa-Science of the Anthropocene,2325-1026,2.838,Not Available,Not Available
2853,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,1365-1609,2.836,3.374,0.974
2853,JOURNAL OF PHYSICAL CHEMISTRY A,1089-5639,2.836,2.642,0.761
2853,PARASITE IMMUNOLOGY,0141-9838,2.836,2.364,0.667
2856,Journal of the Association for Information Science and Technology,2330-1635,2.835,2.931,0.738
2856,Journal of the Association for Information Science and Technology,2330-1635,2.835,2.931,0.738
2856,SAFETY SCIENCE,0925-7535,2.835,3.120,0.743
2859,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,1063-5203,2.833,2.859,1.968
2859,JOURNAL OF PLANT PHYSIOLOGY,0176-1617,2.833,3.034,0.736
2859,MEMORIAS DO INSTITUTO OSWALDO CRUZ,0074-0276,2.833,2.260,0.696
2862,EUROPEAN JOURNAL OF NEUROSCIENCE,0953-816X,2.832,3.090,1.133
2863,JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,0731-7085,2.831,2.863,0.582
2864,POLICY STUDIES JOURNAL,0190-292X,2.830,3.675,1.470
2865,BMC MICROBIOLOGY,1471-2180,2.829,3.066,0.869
2865,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,0927-7757,2.829,2.852,0.529
2865,JOURNAL OF MEMORY AND LANGUAGE,0749-596X,2.829,5.148,1.949
2865,JOURNAL OF MEMORY AND LANGUAGE,0749-596X,2.829,5.148,1.949
2869,BIODIVERSITY AND CONSERVATION,0960-3115,2.828,2.948,0.913
2870,APPLIED SPECTROSCOPY REVIEWS,0570-4928,2.826,3.714,0.814
2870,CHEMICAL ENGINEERING AND PROCESSING,0255-2701,2.826,3.096,0.602
2872,Aesthetic Surgery Journal,1090-820X,2.824,2.668,0.692
2872,HEARING RESEARCH,0378-5955,2.824,3.066,0.900
2874,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,1549-8328,2.823,3.246,1.140
2875,Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,2.821,2.984,0.897
2875,AoB Plants,2041-2851,2.821,2.922,0.849
2875,CURRENT OPINION IN HEMATOLOGY,1065-6251,2.821,2.906,1.167
2875,CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,1040-872X,2.821,2.513,0.796
2875,MEAT SCIENCE,0309-1740,2.821,3.550,0.697
2880,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,1433-8319,2.820,3.755,1.279
2880,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,0035-9203,2.820,2.184,0.792
2882,DIGESTIVE DISEASES AND SCIENCES,0163-2116,2.819,2.663,0.830
2882,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,2.819,3.130,0.719
2882,ROCK MECHANICS AND ROCK ENGINEERING,0723-2632,2.819,3.565,1.035
2885,JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,0022-1554,2.816,3.096,0.868
2886,REGULATORY TOXICOLOGY AND PHARMACOLOGY,0273-2300,2.815,2.532,0.546
2887,IEEE SIGNAL PROCESSING LETTERS,1070-9908,2.813,3.012,1.100
2887,JOURNAL OF GASTROINTESTINAL SURGERY,1091-255X,2.813,3.043,0.964
2889,Geosphere,1553-040X,2.811,2.741,1.176
2889,NEUROTOXICOLOGY AND TERATOLOGY,0892-0362,2.811,3.000,0.765
2891,ORGANIC GEOCHEMISTRY,0146-6380,2.810,3.253,0.954
2892,European Journal of Oral Implantology,1756-2406,2.809,3.918,1.014
2892,Gut Pathogens,1757-4749,2.809,3.015,0.687
2892,JOURNAL OF CONSUMER PSYCHOLOGY,1057-7408,2.809,4.427,1.957
2892,Journal of Manufacturing Processes,1526-6125,2.809,Not Available,Not Available
2896,CANCER CHEMOTHERAPY AND PHARMACOLOGY,0344-5704,2.808,2.865,0.699
2896,PEDIATRIC CLINICS OF NORTH AMERICA,0031-3955,2.808,2.788,0.888
2896,USER MODELING AND USER-ADAPTED INTERACTION,0924-1868,2.808,4.185,1.110
2899,CLIMACTERIC,1369-7137,2.807,2.558,0.670
2899,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,0098-8847,2.807,3.546,1.122
2901,Academic Pediatrics,1876-2859,2.806,3.152,1.315
2901,HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,0885-6222,2.806,2.623,0.684
2903,ANIMAL COGNITION,1435-9448,2.805,2.612,0.803
2904,ANNALS OF EPIDEMIOLOGY,1047-2797,2.804,2.767,1.151
2905,Journal of Natural Gas Science and Engineering,1875-5100,2.803,2.815,0.616
2906,COGNITIVE BEHAVIOUR THERAPY,1650-6073,2.802,Not Available,Not Available
2906,JOURNAL OF MARRIAGE AND FAMILY,0022-2445,2.802,3.299,1.343
2908,ChemistryOpen,2191-1363,2.801,2.841,0.702
2909,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,0944-1344,2.800,2.989,0.557
2909,Journal of Grid Computing,1570-7873,2.800,2.727,0.650
2911,EUROPEAN PHYSICAL JOURNAL A,1434-6001,2.799,2.618,0.937
2911,MEDICAL MYCOLOGY,1369-3786,2.799,2.687,0.744
2913,MICROCIRCULATION,1073-9688,2.797,2.717,0.807
2914,MECHANISM AND MACHINE THEORY,0094-114X,2.796,3.003,0.648
2915,Advances in Biochemical Engineering-Biotechnology,0724-6145,2.795,2.464,0.603
2915,BMC MOLECULAR BIOLOGY,1471-2199,2.795,2.250,0.774
2915,CHEMICAL ENGINEERING RESEARCH & DESIGN,0263-8762,2.795,3.080,0.613
2918,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,0018-9456,2.794,2.711,0.668
2918,MARKETING SCIENCE,0732-2399,2.794,3.918,2.606
2920,MYCOSES,0933-7407,2.793,2.495,0.644
2921,JOURNAL OF DIABETES AND ITS COMPLICATIONS,1056-8727,2.792,3.094,0.900
2921,SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,0355-3140,2.792,3.712,1.234
2921,SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,0355-3140,2.792,3.712,1.234
2921,SPINE,0362-2436,2.792,3.389,0.980
2925,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,0898-5626,2.791,4.057,0.656
2926,Clinical Neuroradiology,1869-1439,2.790,2.574,0.828
2927,MODERN LANGUAGE JOURNAL,0026-7902,2.789,2.578,0.705
2928,AMERICAN JOURNAL OF BOTANY,0002-9122,2.788,3.061,1.040
2928,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,1058-0468,2.788,2.466,0.736
2928,JOURNAL OF DERMATOLOGY,0385-2407,2.788,2.689,0.695
2931,CLINICAL AND EXPERIMENTAL MEDICINE,1591-8890,2.787,2.542,0.571
2931,JOURNAL OF PROCESS CONTROL,0959-1524,2.787,3.197,0.772
2931,Pharmacological Reports,1734-1140,2.787,2.702,0.584
2934,BIOFOULING,0892-7014,2.786,3.231,0.709
2934,JOURNAL OF MECHANICAL DESIGN,1050-0472,2.786,2.698,0.599
2936,INTELLIGENCE,0160-2896,2.785,2.876,0.968
2936,Neurodegenerative Diseases,1660-2854,2.785,2.639,0.825
2936,PATIENT EDUCATION AND COUNSELING,0738-3991,2.785,3.311,0.994
2936,PATIENT EDUCATION AND COUNSELING,0738-3991,2.785,3.311,0.994
2936,Particuology,1674-2001,2.785,2.946,0.632
2941,INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,1107-3756,2.784,2.555,0.527
2942,Biomedical Signal Processing and Control,1746-8094,2.783,3.063,0.600
2943,EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,2.782,2.902,0.999
2943,EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,2.782,2.902,0.999
2943,PAIN MEDICINE,1526-2375,2.782,3.050,0.888
2943,PHYSIOLOGICAL GENOMICS,1094-8341,2.782,2.816,0.872
2943,POLITICAL PSYCHOLOGY,0162-895X,2.782,3.309,1.772
2943,URBAN FORESTRY & URBAN GREENING,1618-8667,2.782,3.521,0.647
2943,URBAN FORESTRY & URBAN GREENING,1618-8667,2.782,3.521,0.647
2950,NDT & E INTERNATIONAL,0963-8695,2.781,2.976,0.759
2951,Acta Geotechnica,1861-1125,2.779,2.983,0.908
2951,JOURNAL OF NEURAL TRANSMISSION,0300-9564,2.779,2.689,0.753
2951,PRENATAL DIAGNOSIS,0197-3851,2.779,2.414,0.822
2951,THROMBOSIS RESEARCH,0049-3848,2.779,2.621,0.833
2955,Colorectal Disease,1462-8910,2.778,2.738,0.793
2955,MYCORRHIZA,0940-6360,2.778,2.991,0.686
2957,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,2.777,3.156,0.838
2957,International Journal for Parasitology-Parasites and Wildlife,2213-2244,2.777,Not Available,Not Available
2957,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,1355-6177,2.777,3.467,1.109
2957,MICROBIOLOGICAL RESEARCH,0944-5013,2.777,3.442,0.776
2961,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,1382-6689,2.776,2.721,0.533
2961,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,1099-6362,2.776,2.656,0.641
2963,AIDS REVIEWS,1139-6121,2.775,2.880,0.964
2963,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1041-4347,2.775,3.692,1.188
2963,International Journal of Engine Research,1468-0874,2.775,2.720,0.586
2966,CHEMBIOCHEM,1439-4227,2.774,2.710,0.955
2966,Journal of Transport & Health,2214-1405,2.774,2.883,0.647
2966,NEUROMODULATION,1094-7159,2.774,3.039,0.769
2969,EARTH PLANETS AND SPACE,1880-5981,2.773,2.288,0.902
2969,INFECTION,0300-8126,2.773,2.383,0.739
2971,NEUROCHEMICAL RESEARCH,0364-3190,2.772,2.791,0.625
2972,CARDIOVASCULAR DRUGS AND THERAPY,0920-3206,2.771,2.849,0.868
2973,BMC CELL BIOLOGY,1471-2121,2.769,2.925,0.907
2973,SPORT EDUCATION AND SOCIETY,1357-3322,2.769,3.018,0.449
2973,SPORT EDUCATION AND SOCIETY,1357-3322,2.769,3.018,0.449
2976,HAEMOPHILIA,1351-8216,2.768,2.754,0.712
2976,International Journal of Stem Cells,2005-3606,2.768,Not Available,Not Available
2978,INVENTIONES MATHEMATICAE,0020-9910,2.767,3.172,5.192
2979,CHEMISTRY AND PHYSICS OF LIPIDS,0009-3084,2.766,2.650,0.789
2979,Lithosphere,1941-8264,2.766,3.195,1.385
2979,Natureza & Conservacao,1679-0073,2.766,2.532,0.725
2979,PLoS One,1932-6203,2.766,3.352,1.000
2979,WORLD JOURNAL OF SURGERY,0364-2313,2.766,3.052,0.908
2984,ANNALS OF PHARMACOTHERAPY,1060-0280,2.765,2.406,0.699
2984,PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,0031-6768,2.765,2.978,0.961
2986,Archives of Civil and Mechanical Engineering,1644-9665,2.763,2.562,0.487
2986,PANCREATOLOGY,1424-3903,2.763,3.190,0.953
2988,MYCOLOGIA,0027-5514,2.762,2.833,0.798
2989,ANNALS OF GLACIOLOGY,0260-3055,2.761,2.323,1.015
2989,JOURNAL OF NEUROSURGERY-SPINE,1547-5654,2.761,3.126,0.969
2991,Molecular BioSystems,1742-206X,2.759,2.838,0.794
2992,Expert Review of Clinical Pharmacology,1751-2433,2.758,2.594,0.677
2992,JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,1051-0443,2.758,3.078,0.830
2994,CURRENT PHARMACEUTICAL DESIGN,1381-6128,2.757,2.962,0.707
2994,CYTOMETRY PART B-CLINICAL CYTOMETRY,1552-4949,2.757,2.469,0.692
2994,Journal of Physiological Sciences,1880-6546,2.757,2.366,0.556
2994,Journal of Product and Brand Management,1061-0421,2.757,Not Available,Not Available
2998,ENGINEERING STRUCTURES,0141-0296,2.755,3.060,0.802
2998,Ecohydrology,1936-0584,2.755,2.946,0.869
2998,JOURNAL OF MAMMALIAN EVOLUTION,1064-7554,2.755,2.773,0.909
3001,Astronomy and Computing,2213-1337,2.754,2.409,1.070
3001,International Business Review,0969-5931,2.754,3.544,0.514
3001,Science China-Physics Mechanics & Astronomy,1674-7348,2.754,1.380,0.369
3004,JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,2169-9380,2.752,2.720,0.650
3004,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,0277-2116,2.752,3.030,0.934
3006,INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,2.751,3.237,1.152
3006,SOLID STATE IONICS,0167-2738,2.751,2.607,0.539
3008,SUSTAINABLE DEVELOPMENT,0968-0802,2.750,3.383,0.510
3009,JOURNAL OF DAIRY SCIENCE,0022-0302,2.749,3.085,0.562
3010,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1364-503X,2.748,3.101,1.315
3011,International Journal of Digital Earth,1753-8947,2.746,3.024,0.767
3011,MICROCHEMICAL JOURNAL,0026-265X,2.746,2.867,0.532
3013,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,1046-7408,2.745,2.682,0.735
3014,FOOD AND BIOPRODUCTS PROCESSING,0960-3085,2.744,3.547,0.664
3014,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,0742-1222,2.744,4.262,1.264
3014,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,0742-1222,2.744,4.262,1.264
3014,Urban Water Journal,1573-062X,2.744,2.575,0.545
3018,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,0093-9994,2.743,3.228,0.912
3018,JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,1610-0379,2.743,2.757,0.644
3020,ANAEROBE,1075-9964,2.742,2.943,0.691
3020,G3-Genes Genomes Genetics,2160-1836,2.742,3.048,1.221
3020,Journal of Optical Communications and Networking,1943-0620,2.742,2.541,0.550
3020,Nutrition & Diabetes,2044-4052,2.742,3.615,1.138
3024,American Journal of Cardiovascular Drugs,1175-3277,2.741,2.544,0.655
3025,CHILD NEUROPSYCHOLOGY,0929-7049,2.740,2.667,0.849
3026,International Public Management Journal,1096-7494,2.739,2.600,0.891
3026,Journal of Environmental Policy & Planning,1523-908X,2.739,2.791,0.737
3026,READING RESEARCH QUARTERLY,0034-0553,2.739,4.496,1.682
3029,POLITICAL COMMUNICATION,1058-4609,2.738,3.028,1.957
3030,JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,1138-7548,2.736,2.510,0.552
3031,ACTA CHIMICA SINICA,0567-7351,2.735,1.318,0.198
3031,Regulation & Governance,1748-5983,2.735,3.763,1.379
3033,Andrology,2047-2919,2.734,2.743,0.768
3033,FISHERIES,0363-2415,2.734,2.690,0.745
3033,MOLECULAR GENETICS AND GENOMICS,1617-4615,2.734,2.716,0.737
3036,CLINICAL CARDIOLOGY,0160-9289,2.733,2.393,0.830
3036,COMMUNICATION THEORY,1050-3293,2.733,3.482,1.293
3036,JOURNAL OF INSECT PHYSIOLOGY,0022-1910,2.733,2.863,0.808
